Date,Open,High,Low,Close,Volume
02/16/2024,"431.10","433.67","426.71","432.26","162,952"
02/15/2024,"428.39","431.53","424.94","431.48","248,445"
02/14/2024,"423.76","427.60","422.81","427.53","191,015"
02/13/2024,"424.96","433.06","415.48","420.19","239,991"
02/12/2024,"433.70","435.63","425.97","427.07","214,479"
02/09/2024,"429.69","434.28","428.00","434.03","148,189"
02/08/2024,"433.35","434.77","428.84","430.67","167,318"
02/07/2024,"436.06","436.06","431.18","432.09","225,382"
02/06/2024,"431.69","434.18","430.41","434.04","165,134"
02/05/2024,"431.01","431.01","423.37","430.41","175,024"
02/02/2024,"425.51","434.62","425.02","432.74","176,957"
02/01/2024,"419.14","427.80","415.87","427.58","300,273"
01/31/2024,"429.75","429.75","418.02","418.47","273,788"
01/30/2024,"428.27","431.00","424.88","428.27","177,650"
01/29/2024,"418.11","429.42","416.88","429.17","211,223"
01/26/2024,"425.05","426.24","416.43","418.96","212,957"
01/25/2024,"419.67","429.75","415.88","424.91","303,800"
01/24/2024,"447.88","447.88","417.72","417.92","490,489"
01/23/2024,"440.33","442.13","438.14","441.98","247,060"
01/22/2024,"438.59","442.49","437.76","438.66","198,515"
01/19/2024,"435.10","436.25","430.36","435.63","170,768"
01/18/2024,"427.08","433.58","424.00","432.54","192,698"
01/17/2024,"434.09","437.71","425.37","425.41","227,908"
01/16/2024,"438.77","439.22","436.03","436.57","165,559"
01/12/2024,"443.32","443.32","439.12","440.46","169,723"
01/11/2024,"441.79","442.03","437.48","440.23","114,752"
01/10/2024,"438.28","441.95","436.85","440.83","153,882"
01/09/2024,"437.04","440.13","436.92","438.25","160,776"
01/08/2024,"435.47","441.92","435.43","441.30","209,424"
01/05/2024,"438.18","438.91","432.48","435.47","165,667"
01/04/2024,"440.60","443.11","438.16","438.19","250,953"
01/03/2024,"435.72","441.82","433.30","439.34","309,216"
01/02/2024,"441.38","445.38","437.58","438.30","310,535"
12/29/2023,"442.81","448.19","442.81","446.29","313,543"
12/28/2023,"441.89","445.48","441.20","444.21","241,403"
12/27/2023,"437.80","441.85","436.05","441.73","239,451"
12/26/2023,"433.00","438.01","433.00","437.48","125,675"
12/22/2023,"430.45","435.00","421.03","433.45","219,425"
12/21/2023,"424.34","427.42","420.40","426.30","226,336"
12/20/2023,"427.75","431.33","421.89","421.98","258,825"
12/19/2023,"427.91","429.18","424.56","428.82","212,443"
12/18/2023,"427.04","427.48","420.27","425.97","258,702"
12/15/2023,"428.23","431.86","424.44","425.92","411,216"
12/14/2023,"424.86","428.61","412.80","428.17","373,553"
12/13/2023,"421.17","425.00","416.06","421.90","215,755"
12/12/2023,"417.39","423.50","414.45","420.59","345,500"
12/11/2023,"408.56","418.24","408.09","417.39","405,613"
12/08/2023,"407.03","411.80","404.03","411.49","202,834"
12/07/2023,"405.41","407.38","403.69","406.99","184,740"
12/06/2023,"403.91","407.20","401.97","404.59","166,271"
12/05/2023,"409.15","409.15","401.73","402.05","169,515"
12/04/2023,"406.50","411.86","406.50","409.58","230,772"
12/01/2023,"402.58","409.37","402.58","409.02","241,947"
11/30/2023,"400.85","404.00","397.23","402.96","797,124"
11/29/2023,"398.42","401.14","397.96","399.10","194,392"
11/28/2023,"399.10","401.85","394.95","395.04","144,238"
11/27/2023,"398.60","399.62","396.38","398.42","209,781"
11/24/2023,"394.34","399.76","393.50","399.58","126,082"
11/22/2023,"394.94","397.94","394.57","395.44","142,572"
11/21/2023,"390.22","395.71","390.22","392.87","150,494"
