Date,Open,High,Low,Close,Volume
02/16/2024,"103.17","104.10","101.63","102.24","1,608,844"
02/15/2024,"103.59","103.95","101.70","102.56","2,115,859"
02/14/2024,"100.20","101.81","100.02","101.57","1,454,066"
02/13/2024,"99.36","100.07","97.47","98.91","1,886,370"
02/12/2024,"102.25","104.77","101.91","102.91","1,362,076"
02/09/2024,"99.32","102.42","98.81","102.31","1,653,911"
02/08/2024,"97.40","99.57","97.40","98.47","1,888,028"
02/07/2024,"98.64","98.64","96.31","97.51","1,380,280"
02/06/2024,"96.67","97.79","96.23","97.75","1,543,380"
02/05/2024,"96.31","97.17","94.64","96.25","1,957,764"
02/02/2024,"94.95","96.69","93.87","96.37","1,808,983"
02/01/2024,"97.13","97.13","93.37","95.14","2,896,371"
01/31/2024,"95.49","98.79","92.29","96.59","6,316,152"
01/30/2024,"104.89","106.44","104.32","104.59","2,111,127"
01/29/2024,"104.21","106.34","104.09","106.07","1,721,063"
01/26/2024,"108.74","108.82","104.82","105.46","2,095,712"
01/25/2024,"112.68","112.71","109.76","109.95","2,007,847"
01/24/2024,"112.05","113.60","110.46","110.67","1,921,093"
01/23/2024,"110.60","111.51","109.39","111.24","1,173,330"
01/22/2024,"110.00","111.96","108.99","110.09","1,827,946"
01/19/2024,"107.24","109.08","105.64","108.72","1,934,579"
01/18/2024,"104.80","106.43","104.34","106.02","2,416,581"
01/17/2024,"102.48","103.00","100.75","102.86","1,366,144"
01/16/2024,"103.99","105.31","103.21","104.09","1,670,982"
01/12/2024,"105.00","106.12","103.61","104.81","1,191,076"
01/11/2024,"104.83","105.68","102.96","105.10","1,803,548"
01/10/2024,"105.46","105.50","103.29","104.88","1,148,126"
01/09/2024,"104.36","105.80","104.16","105.24","1,055,069"
01/08/2024,"103.18","106.04","103.07","105.89","1,421,639"
01/05/2024,"101.70","103.17","101.57","102.77","1,404,466"
01/04/2024,"100.19","102.53","99.95","101.58","1,442,006"
01/03/2024,"102.71","103.09","101.08","101.75","1,376,820"
01/02/2024,"107.00","107.00","103.64","104.77","2,383,862"
12/29/2023,"109.94","110.64","108.35","108.52","1,365,788"
12/28/2023,"111.07","111.18","109.92","110.44","874,558"
12/27/2023,"111.00","111.25","109.79","110.75","1,261,774"
12/26/2023,"108.08","110.85","108.08","110.35","1,389,047"
12/22/2023,"107.00","107.82","106.55","107.63","832,239"
12/21/2023,"105.99","107.02","105.68","106.59","1,812,146"
12/20/2023,"105.07","106.76","103.43","103.61","1,870,695"
12/19/2023,"106.00","106.94","105.48","105.88","1,379,517"
12/18/2023,"105.07","105.47","103.64","105.28","2,556,813"
12/15/2023,"104.18","106.25","104.10","105.16","4,609,903"
12/14/2023,"99.49","105.66","99.49","105.39","3,680,689"
12/13/2023,"96.18","99.03","95.54","98.16","1,403,175"
12/12/2023,"96.34","97.17","96.09","96.34","912,974"
12/11/2023,"93.36","97.34","93.36","96.73","2,222,152"
12/08/2023,"92.26","93.57","91.84","92.29","1,688,281"
12/07/2023,"91.91","93.03","91.11","92.61","1,331,933"
12/06/2023,"92.67","93.24","91.12","91.22","1,601,152"
12/05/2023,"92.21","92.22","90.24","91.24","1,352,649"
12/04/2023,"93.12","93.45","91.27","93.16","1,381,401"
12/01/2023,"91.76","93.91","91.12","93.86","934,553"
11/30/2023,"92.94","93.55","91.29","92.23","2,072,944"
11/29/2023,"92.60","94.17","92.47","92.76","1,724,740"
11/28/2023,"91.43","91.98","90.53","91.24","1,063,666"
11/27/2023,"91.73","92.45","91.13","91.93","818,525"
11/24/2023,"92.38","92.81","92.15","92.49","472,339"
11/22/2023,"92.78","93.93","91.97","92.44","1,306,388"
11/21/2023,"92.76","93.22","91.27","91.76","1,427,121"
