Date,Open,High,Low,Close,Volume
02/16/2024,"36.07","36.46","35.76","36.10","7,832,207"
02/15/2024,"35.67","36.51","35.50","36.33","10,093,620"
02/14/2024,"35.32","35.57","34.87","35.41","9,166,327"
02/13/2024,"35.38","35.47","34.23","34.94","12,822,000"
02/12/2024,"35.78","36.48","35.69","36.01","7,016,467"
02/09/2024,"35.36","36.07","34.88","35.84","10,079,280"
02/08/2024,"35.20","35.67","35.14","35.51","7,590,280"
02/07/2024,"36.42","36.57","35.15","36.01","8,909,860"
02/06/2024,"36.29","36.49","35.87","36.25","7,306,055"
02/05/2024,"36.49","36.57","35.81","36.25","10,585,480"
02/02/2024,"36.27","36.89","35.96","36.79","11,487,000"
02/01/2024,"37.25","37.99","35.19","36.50","25,481,631"
01/31/2024,"37.41","38.05","36.91","37.06","14,452,310"
01/30/2024,"38.12","38.47","38.01","38.17","8,091,038"
01/29/2024,"37.67","38.21","37.61","38.09","9,067,089"
01/26/2024,"37.59","38.02","37.50","37.84","11,477,980"
01/25/2024,"38.00","38.02","37.18","37.51","8,053,802"
01/24/2024,"37.09","37.72","36.87","37.55","11,035,700"
01/23/2024,"37.08","37.30","36.63","36.82","6,375,808"
01/22/2024,"37.60","37.90","36.94","37.01","10,268,350"
01/19/2024,"36.20","37.51","35.85","37.47","13,473,930"
01/18/2024,"36.20","37.56","35.09","35.98","17,018,350"
01/17/2024,"35.74","36.23","35.44","35.78","8,978,561"
01/16/2024,"36.21","36.42","35.73","36.18","9,340,466"
01/12/2024,"37.44","37.63","36.46","36.74","8,021,597"
01/11/2024,"37.46","37.55","36.47","37.34","9,698,770"
01/10/2024,"37.61","37.86","37.19","37.73","8,100,205"
01/09/2024,"37.57","37.87","37.38","37.68","6,806,571"
01/08/2024,"37.48","38.01","37.25","38.00","7,153,185"
01/05/2024,"36.90","37.88","36.77","37.60","9,362,206"
01/04/2024,"37.06","37.37","36.78","36.97","9,411,974"
01/03/2024,"37.06","37.07","36.23","36.51","12,154,780"
01/02/2024,"36.63","37.69","36.51","37.51","8,595,520"
12/29/2023,"37.09","37.35","36.89","36.92","8,058,292"
12/28/2023,"37.12","37.43","37.12","37.29","6,837,968"
12/27/2023,"36.99","37.42","36.77","37.24","6,483,067"
12/26/2023,"36.71","37.22","36.58","37.11","6,083,943"
12/22/2023,"36.67","36.99","36.49","36.76","9,644,374"
12/21/2023,"36.13","36.53","36.11","36.49","7,842,180"
12/20/2023,"36.42","36.85","35.77","35.79","10,834,520"
12/19/2023,"36.41","36.86","36.17","36.72","9,319,102"
12/18/2023,"36.71","37.05","36.32","36.34","8,973,585"
12/15/2023,"37.44","37.83","36.51","36.70","15,702,410"
12/14/2023,"36.70","37.66","36.28","37.64","17,528,680"
12/13/2023,"34.13","35.58","33.87","35.49","11,417,970"
12/12/2023,"34.61","34.61","34.01","34.10","7,117,208"
12/11/2023,"34.22","34.62","34.11","34.43","9,279,687"
12/08/2023,"34.00","34.58","33.73","34.33","11,424,120"
12/07/2023,"33.53","34.34","33.36","33.96","16,613,199"
12/06/2023,"33.40","34.21","33.02","33.04","9,173,281"
12/05/2023,"33.12","33.30","32.78","33.15","7,592,958"
12/04/2023,"33.00","33.63","32.97","33.28","11,962,310"
12/01/2023,"32.02","33.41","31.96","33.27","11,699,850"
11/30/2023,"32.34","32.43","31.99","32.14","12,300,980"
11/29/2023,"31.91","32.71","31.80","32.13","9,377,225"
11/28/2023,"31.44","31.70","31.23","31.56","6,113,592"
11/27/2023,"31.55","31.73","31.33","31.44","8,574,253"
11/24/2023,"31.51","31.81","31.28","31.78","2,586,866"
11/22/2023,"31.93","31.96","31.33","31.49","5,283,296"
11/21/2023,"31.95","31.99","31.51","31.58","5,245,846"
