Date,Open,High,Low,Close,Volume
02/22/2024,"243.01","245.94","236.75","237.70","785,669"
02/21/2024,"251.36","252.56","246.99","250.95","499,574"
02/20/2024,"250.02","253.06","247.45","250.95","284,463"
02/16/2024,"254.23","256.85","250.36","251.07","218,349"
02/15/2024,"251.18","255.23","251.00","255.05","167,196"
02/14/2024,"249.58","250.08","245.84","249.07","142,041"
02/13/2024,"247.77","250.73","245.64","247.95","173,708"
02/12/2024,"252.77","253.46","251.62","252.73","102,279"
02/09/2024,"250.24","252.30","248.59","252.04","148,177"
02/08/2024,"249.33","251.46","246.71","251.32","112,229"
02/07/2024,"252.30","253.75","249.97","250.89","182,744"
02/06/2024,"244.71","252.84","243.96","252.25","202,903"
02/05/2024,"243.06","246.11","243.06","244.10","140,377"
02/02/2024,"245.57","247.03","242.79","245.74","178,810"
02/01/2024,"242.26","248.34","239.15","247.65","174,478"
01/31/2024,"247.06","248.59","242.65","242.83","246,251"
01/30/2024,"245.58","247.87","244.54","244.85","130,833"
01/29/2024,"243.33","247.39","243.33","247.02","127,316"
01/26/2024,"246.97","246.97","242.00","244.45","149,691"
01/25/2024,"245.78","245.78","242.83","244.88","168,368"
01/24/2024,"248.35","249.65","241.44","241.96","156,129"
01/23/2024,"254.12","255.00","246.00","247.90","162,307"
01/22/2024,"247.62","253.50","247.31","252.58","391,611"
01/19/2024,"246.92","249.84","243.60","246.83","249,715"
01/18/2024,"246.21","246.62","243.00","246.38","147,145"
01/17/2024,"243.13","245.66","242.52","244.94","226,606"
01/16/2024,"246.88","247.11","243.33","245.91","254,470"
01/12/2024,"251.95","254.48","248.07","249.15","120,172"
01/11/2024,"247.96","249.41","245.99","248.34","250,101"
01/10/2024,"248.55","249.22","246.55","248.50","186,302"
01/09/2024,"246.36","250.83","246.36","247.84","263,911"
01/08/2024,"240.41","249.27","240.21","249.01","213,359"
01/05/2024,"239.89","243.91","237.73","239.46","227,392"
01/04/2024,"240.99","243.59","240.09","241.06","334,885"
01/03/2024,"248.21","248.21","241.56","242.02","255,380"
01/02/2024,"247.26","251.78","246.88","250.44","217,139"
12/29/2023,"248.91","251.43","247.56","249.34","117,691"
12/28/2023,"249.60","251.48","248.78","249.77","155,521"
12/27/2023,"251.16","251.28","248.80","250.51","228,676"
12/26/2023,"251.13","253.63","249.65","252.11","165,486"
12/22/2023,"252.52","253.47","250.75","250.95","162,486"
12/21/2023,"249.14","252.00","249.14","251.43","154,380"
12/20/2023,"253.60","253.60","247.51","247.61","178,458"
12/19/2023,"252.51","254.99","249.46","253.83","326,465"
12/18/2023,"257.85","257.85","250.26","253.24","297,971"
12/15/2023,"253.05","256.27","250.99","254.58","578,604"
12/14/2023,"244.77","257.44","244.77","256.21","601,392"
12/13/2023,"233.05","242.82","232.09","242.63","284,587"
12/12/2023,"231.92","234.05","229.70","233.08","150,549"
12/11/2023,"230.36","232.13","229.55","231.56","223,096"
12/08/2023,"232.68","234.10","230.92","231.08","235,614"
12/07/2023,"230.55","232.71","228.44","232.58","207,062"
12/06/2023,"228.92","229.67","226.34","229.45","255,682"
12/05/2023,"228.99","230.17","225.15","227.56","203,816"
12/04/2023,"227.65","231.33","227.58","229.36","268,154"
12/01/2023,"224.51","228.04","224.11","227.67","224,061"
11/30/2023,"221.00","226.41","220.35","225.69","718,387"
11/29/2023,"220.78","224.35","219.64","221.25","350,488"
11/28/2023,"218.13","221.08","216.50","219.83","320,966"
11/27/2023,"218.96","220.56","216.99","218.85","183,935"
11/24/2023,"218.33","220.53","217.53","219.95","76,041"
