Date,Open,High,Low,Close,Volume
02/20/2024,"97.80","98.41","97.27","97.36","5,591,584"
02/16/2024,"97.99","98.49","97.04","98.04","4,470,084"
02/15/2024,"97.42","98.33","97.21","97.94","4,802,948"
02/14/2024,"97.91","98.22","96.65","97.17","4,765,825"
02/13/2024,"97.18","98.04","97.14","97.96","4,190,243"
02/12/2024,"98.66","98.86","97.78","98.08","4,062,579"
02/09/2024,"98.24","99.07","98.01","98.75","3,488,189"
02/08/2024,"98.50","99.45","98.13","98.36","6,246,165"
02/07/2024,"97.54","98.29","97.40","97.83","4,641,898"
02/06/2024,"96.50","97.23","96.04","97.10","4,410,672"
02/05/2024,"96.50","96.74","95.16","96.65","5,466,370"
02/02/2024,"96.94","98.05","96.25","97.51","3,973,464"
02/01/2024,"94.96","97.08","94.71","97.06","4,608,892"
01/31/2024,"97.00","97.00","94.66","94.91","4,967,009"
01/30/2024,"96.16","96.85","95.62","96.82","4,112,755"
01/29/2024,"96.38","96.85","95.63","96.41","3,636,519"
01/26/2024,"95.69","96.45","95.54","96.38","4,163,717"
01/25/2024,"95.36","95.91","95.04","95.51","4,326,797"
01/24/2024,"95.23","95.64","94.89","94.95","3,438,883"
01/23/2024,"95.15","95.66","94.98","95.06","3,387,531"
01/22/2024,"95.52","95.65","94.78","95.13","3,974,075"
01/19/2024,"95.16","95.70","94.27","95.50","4,138,683"
01/18/2024,"94.31","94.98","94.06","94.75","4,390,201"
01/17/2024,"95.43","95.59","94.31","94.39","5,530,903"
01/16/2024,"95.08","95.92","95.08","95.87","5,972,039"
01/12/2024,"95.65","95.65","94.80","95.03","2,958,863"
01/11/2024,"94.34","95.34","93.91","95.25","4,288,091"
01/10/2024,"93.08","94.46","93.08","94.14","4,653,851"
01/09/2024,"92.50","93.21","92.20","93.08","3,609,422"
01/08/2024,"91.59","92.95","91.59","92.82","4,716,267"
01/05/2024,"92.65","93.22","91.56","91.71","4,533,860"
01/04/2024,"91.82","93.08","91.31","92.78","5,328,007"
01/03/2024,"93.06","93.25","91.66","91.70","5,337,803"
01/02/2024,"93.09","94.23","92.83","93.28","5,273,552"
12/29/2023,"93.59","94.29","93.38","93.81","5,342,566"
12/28/2023,"92.98","93.68","92.69","93.24","3,249,149"
12/27/2023,"92.77","93.15","92.37","92.77","3,525,487"
12/26/2023,"91.92","92.87","91.83","92.79","3,275,719"
12/22/2023,"91.57","91.97","91.30","91.85","3,463,203"
12/21/2023,"90.40","91.49","90.27","91.38","5,376,223"
12/20/2023,"90.92","91.20","90.04","90.06","4,783,249"
12/19/2023,"89.52","91.38","89.52","91.28","4,429,355"
12/18/2023,"89.74","90.31","89.37","89.82","4,367,314"
12/15/2023,"89.41","90.12","88.58","89.29","9,827,602"
12/14/2023,"92.13","92.31","89.86","89.95","7,155,987"
12/13/2023,"91.54","91.89","90.87","91.89","5,567,048"
12/12/2023,"90.68","91.40","90.40","91.17","4,237,342"
12/11/2023,"89.66","90.88","89.66","90.77","4,891,179"
12/08/2023,"89.03","89.30","88.43","89.13","5,124,957"
12/07/2023,"88.77","89.29","88.50","88.89","4,210,184"
12/06/2023,"87.97","89.04","87.97","88.56","5,102,494"
12/05/2023,"88.24","88.40","87.44","88.00","3,840,321"
12/04/2023,"88.54","89.68","88.30","88.57","5,884,521"
12/01/2023,"88.31","89.39","87.92","89.04","4,964,630"
11/30/2023,"88.37","88.66","87.79","88.11","11,206,270"
11/29/2023,"89.44","89.60","87.85","88.10","5,014,618"
11/28/2023,"88.91","89.48","88.75","89.14","3,865,012"
11/27/2023,"89.71","89.91","89.01","89.10","6,165,581"
11/24/2023,"90.36","90.60","89.55","89.97","2,066,364"
11/22/2023,"89.67","90.40","89.22","89.95","4,982,679"
