Date,Open,High,Low,Close,Volume
02/20/2024,"544.86","550.41","542.35","548.14","989,294"
02/16/2024,"546.32","552.69","546.32","547.84","1,028,206"
02/15/2024,"547.26","553.23","545.28","548.57","1,519,047"
02/14/2024,"541.64","548.69","541.64","548.27","1,296,996"
02/13/2024,"541.42","546.19","534.41","538.60","1,268,029"
02/12/2024,"551.00","551.00","544.11","546.86","1,073,036"
02/09/2024,"549.65","554.13","548.29","550.75","1,280,838"
02/08/2024,"552.20","552.86","541.46","550.89","1,549,469"
02/07/2024,"562.00","566.00","552.03","552.31","1,451,424"
02/06/2024,"552.49","560.50","551.45","560.28","1,328,171"
02/05/2024,"549.46","556.98","546.67","551.62","1,473,858"
02/02/2024,"549.02","554.45","541.89","551.82","1,327,462"
02/01/2024,"542.14","553.92","534.24","552.23","2,163,879"
01/31/2024,"563.30","566.00","537.78","538.98","3,589,573"
01/30/2024,"559.50","570.00","559.50","567.12","2,301,337"
01/29/2024,"550.00","559.19","547.36","557.77","2,445,913"
01/26/2024,"554.00","556.41","546.65","547.33","3,172,314"
01/25/2024,"543.23","547.78","537.64","538.21","1,748,147"
01/24/2024,"549.85","551.99","539.14","539.99","1,842,524"
01/23/2024,"556.20","557.03","545.37","550.74","1,116,609"
01/22/2024,"552.88","558.69","550.53","553.39","1,818,531"
01/19/2024,"545.16","553.28","541.84","551.75","2,123,960"
01/18/2024,"537.35","547.03","535.99","544.42","1,728,161"
01/17/2024,"538.75","545.95","536.84","539.25","1,966,276"
01/16/2024,"543.51","550.84","541.19","542.00","1,838,961"
01/12/2024,"548.51","553.08","542.79","544.32","2,013,148"
01/11/2024,"543.53","548.54","540.41","546.00","1,983,133"
01/10/2024,"540.79","549.36","533.88","543.93","2,026,699"
01/09/2024,"538.52","559.23","536.65","541.85","2,889,967"
01/08/2024,"529.63","543.56","527.40","541.38","2,126,866"
01/05/2024,"533.97","540.77","530.47","531.23","1,817,209"
01/04/2024,"527.32","539.84","527.32","537.36","1,831,255"
01/03/2024,"542.81","543.67","527.97","528.82","2,170,268"
01/02/2024,"529.56","546.10","527.37","544.15","2,310,861"
12/29/2023,"531.21","533.97","529.52","530.79","804,285"
12/28/2023,"533.00","536.00","531.50","532.94","763,369"
12/27/2023,"530.81","533.07","529.30","531.65","805,991"
12/26/2023,"526.88","531.24","525.78","529.70","639,110"
12/22/2023,"528.09","532.92","526.90","529.05","1,081,485"
12/21/2023,"518.07","527.03","518.07","526.56","1,016,630"
12/20/2023,"528.00","532.49","519.37","519.43","1,497,316"
12/19/2023,"521.01","528.86","519.81","528.14","2,569,382"
12/18/2023,"521.13","523.86","515.60","518.62","1,607,374"
12/15/2023,"520.77","523.48","517.72","518.03","4,354,941"
12/14/2023,"529.54","534.43","520.13","521.52","2,763,855"
12/13/2023,"498.59","518.87","496.88","518.54","2,776,711"
12/12/2023,"496.33","498.51","491.47","497.37","1,420,265"
12/11/2023,"492.56","497.45","491.33","494.99","2,030,858"
12/08/2023,"492.81","495.68","488.02","489.77","1,871,843"
12/07/2023,"494.53","498.30","492.31","494.10","2,101,760"
12/06/2023,"495.00","496.68","491.65","493.81","1,241,717"
12/05/2023,"492.97","493.63","487.06","491.60","1,613,574"
12/04/2023,"493.47","498.31","490.36","495.34","1,222,282"
12/01/2023,"490.88","499.20","489.60","496.13","1,219,795"
11/30/2023,"495.90","497.50","489.38","495.76","1,913,969"
11/29/2023,"489.89","495.80","489.89","492.92","1,195,835"
11/28/2023,"488.42","488.75","480.57","485.92","1,549,615"
11/27/2023,"489.22","493.42","488.15","490.13","2,427,137"
11/24/2023,"488.50","491.03","486.81","490.78","722,765"
11/22/2023,"486.08","490.57","485.71","487.53","1,464,197"
