Date,Open,High,Low,Close,Volume
02/20/2024,"161.30","163.36","161.30","162.05","4,066,747"
02/16/2024,"161.23","161.36","159.62","160.41","4,594,388"
02/15/2024,"161.72","162.09","160.86","161.57","3,363,766"
02/14/2024,"161.72","161.99","160.92","161.42","3,782,458"
02/13/2024,"162.14","162.91","159.98","161.48","4,783,663"
02/12/2024,"162.14","162.37","161.10","161.76","3,261,934"
02/09/2024,"161.48","162.64","160.28","162.19","4,475,593"
02/08/2024,"161.78","162.00","159.22","160.93","4,052,350"
02/07/2024,"161.75","162.30","160.80","161.78","3,686,809"
02/06/2024,"161.88","162.36","160.59","161.00","4,142,542"
02/05/2024,"160.15","162.20","159.91","162.01","4,311,607"
02/02/2024,"162.74","163.23","161.29","161.78","4,164,295"
02/01/2024,"161.23","163.00","160.24","162.50","5,104,044"
01/31/2024,"162.33","162.86","160.46","161.23","5,427,246"
01/30/2024,"162.52","163.78","161.58","161.70","6,502,749"
01/29/2024,"161.69","163.56","159.49","163.09","6,604,123"
01/26/2024,"159.92","165.69","159.59","162.16","8,882,560"
01/25/2024,"162.67","163.44","161.99","162.56","7,629,715"
01/24/2024,"163.52","164.65","161.87","162.00","5,742,998"
01/23/2024,"164.95","165.79","163.45","163.74","6,194,023"
01/22/2024,"165.30","165.75","164.26","164.38","5,253,356"
01/19/2024,"164.38","165.95","164.20","165.16","4,332,336"
01/18/2024,"162.62","165.38","162.27","164.89","4,041,074"
01/17/2024,"163.11","165.09","162.76","164.27","5,597,955"
01/16/2024,"161.82","163.24","160.10","163.08","4,839,786"
01/12/2024,"163.40","163.75","162.27","162.54","3,394,325"
01/11/2024,"163.00","163.13","161.83","162.17","3,661,975"
01/10/2024,"163.20","163.69","161.81","163.29","4,502,178"
01/09/2024,"163.05","163.80","161.70","163.20","4,102,714"
01/08/2024,"163.47","163.99","162.32","163.41","4,135,162"
01/05/2024,"162.25","163.45","161.74","163.37","4,552,918"
01/04/2024,"162.85","163.57","162.18","162.30","4,068,757"
01/03/2024,"163.00","164.50","161.87","162.08","4,608,645"
01/02/2024,"160.33","163.00","160.33","161.91","5,049,655"
12/29/2023,"158.85","160.88","158.37","160.33","3,868,051"
12/28/2023,"158.17","159.31","157.75","158.95","3,013,150"
12/27/2023,"156.02","158.52","155.81","157.94","3,575,933"
12/26/2023,"155.11","157.28","153.84","156.83","2,991,219"
12/22/2023,"155.16","156.18","154.32","155.71","2,783,959"
12/21/2023,"155.25","155.39","154.27","154.93","3,213,592"
12/20/2023,"156.18","156.66","154.12","154.54","3,866,606"
12/19/2023,"156.15","156.74","155.34","155.87","2,722,849"
12/18/2023,"156.43","157.36","155.05","156.26","4,072,512"
12/15/2023,"156.87","157.39","154.90","156.15","11,044,890"
12/14/2023,"158.46","158.57","156.20","156.87","5,758,558"
12/13/2023,"159.95","160.33","158.57","159.55","5,195,302"
12/12/2023,"159.81","161.19","159.02","160.44","5,049,331"
12/11/2023,"158.05","160.23","158.00","158.85","5,170,801"
12/08/2023,"156.81","157.00","154.24","156.40","3,791,386"
12/07/2023,"155.84","156.91","155.05","156.36","4,232,246"
12/06/2023,"154.93","155.62","153.69","155.50","5,433,730"
12/05/2023,"152.85","154.53","151.98","154.00","4,577,426"
12/04/2023,"151.43","153.43","151.38","152.80","4,127,672"
12/01/2023,"150.29","152.84","150.29","152.25","4,391,249"
11/30/2023,"148.31","150.67","148.19","150.45","5,596,147"
11/29/2023,"148.97","149.62","148.59","149.55","4,326,605"
11/28/2023,"148.36","148.93","147.96","148.38","3,096,948"
11/27/2023,"148.98","149.45","148.15","148.80","3,923,187"
11/24/2023,"148.88","149.41","148.30","148.98","1,341,448"
11/22/2023,"149.02","149.60","148.67","148.91","2,913,770"
