Date,Open,High,Low,Close,Volume
02/22/2024,"47.29","47.93","47.10","47.80","3,144,661"
02/21/2024,"46.61","47.30","46.57","46.96","3,820,994"
02/20/2024,"45.64","46.85","45.64","46.75","3,887,137"
02/16/2024,"45.18","46.11","45.18","45.91","2,998,993"
02/15/2024,"44.64","45.56","44.40","45.46","4,463,485"
02/14/2024,"43.10","44.40","42.77","44.25","5,220,121"
02/13/2024,"42.03","42.71","41.81","42.69","4,109,355"
02/12/2024,"42.12","43.56","42.00","43.44","4,410,355"
02/09/2024,"42.89","42.89","41.26","42.00","6,465,198"
02/08/2024,"42.23","44.29","42.23","42.99","9,212,185"
02/07/2024,"41.17","41.21","40.12","40.35","5,342,409"
02/06/2024,"40.50","41.21","40.50","41.00","4,403,638"
02/05/2024,"40.45","40.65","39.74","40.37","4,564,424"
02/02/2024,"39.78","40.30","39.12","40.01","3,238,033"
02/01/2024,"39.04","40.08","39.01","40.02","3,606,766"
01/31/2024,"39.39","39.71","38.71","38.79","3,230,868"
01/30/2024,"39.20","39.60","39.19","39.46","2,430,477"
01/29/2024,"38.90","39.70","38.80","39.65","2,822,140"
01/26/2024,"39.20","40.10","38.89","38.97","3,756,926"
01/25/2024,"37.88","38.37","37.72","38.26","3,325,645"
01/24/2024,"37.97","38.39","37.51","37.54","2,493,241"
01/23/2024,"37.86","38.22","37.46","37.66","3,831,778"
01/22/2024,"36.70","37.53","36.70","37.45","2,953,443"
01/19/2024,"35.88","36.72","35.52","36.64","3,246,440"
01/18/2024,"36.10","36.16","35.26","35.83","2,382,101"
01/17/2024,"36.27","36.29","35.71","35.84","2,787,913"
01/16/2024,"36.01","36.48","35.49","36.47","2,958,827"
01/12/2024,"37.79","38.00","36.33","36.34","3,908,446"
01/11/2024,"37.44","37.68","36.99","37.67","2,322,140"
01/10/2024,"37.48","37.67","37.08","37.49","2,221,522"
01/09/2024,"37.57","37.83","37.17","37.46","2,577,876"
01/08/2024,"37.29","38.35","37.25","38.09","3,209,385"
01/05/2024,"36.79","37.81","36.75","37.33","3,550,343"
01/04/2024,"36.94","37.10","36.72","36.90","4,147,726"
01/03/2024,"37.68","37.73","36.75","36.85","4,565,208"
01/02/2024,"36.81","38.48","36.70","38.17","4,557,834"
12/29/2023,"36.93","37.15","36.61","36.81","4,316,572"
12/28/2023,"37.40","37.43","37.04","37.08","3,525,882"
12/27/2023,"37.68","37.96","37.39","37.40","3,385,342"
12/26/2023,"37.29","37.62","37.15","37.61","2,475,190"
12/22/2023,"36.59","37.59","36.50","37.05","3,743,106"
12/21/2023,"37.05","37.59","36.96","37.55","3,470,269"
12/20/2023,"36.73","37.27","36.52","36.57","3,652,529"
12/19/2023,"36.11","36.93","36.03","36.90","3,170,798"
12/18/2023,"36.10","36.10","35.58","35.85","3,547,988"
12/15/2023,"36.45","36.80","36.08","36.08","7,987,303"
12/14/2023,"35.06","36.85","35.06","36.51","7,167,570"
12/13/2023,"33.52","34.63","33.29","34.53","4,023,089"
12/12/2023,"33.70","33.94","33.47","33.56","3,274,004"
12/11/2023,"33.51","34.00","33.51","33.82","3,029,095"
12/08/2023,"33.03","33.65","32.91","33.53","3,590,878"
12/07/2023,"32.36","33.22","32.27","33.14","3,999,108"
12/06/2023,"32.61","32.87","32.35","32.51","2,846,470"
12/05/2023,"32.75","32.90","32.20","32.42","3,266,922"
12/04/2023,"32.62","33.26","32.62","33.02","3,919,281"
12/01/2023,"31.70","32.76","31.61","32.70","3,176,935"
11/30/2023,"31.67","31.87","31.37","31.67","3,767,694"
11/29/2023,"31.47","31.94","31.45","31.67","4,471,641"
11/28/2023,"30.94","31.25","30.68","31.02","3,706,592"
11/27/2023,"30.39","31.00","30.20","30.92","3,641,621"
11/24/2023,"30.48","30.58","30.30","30.58","1,702,013"
