Date,Open,High,Low,Close,Volume
02/16/2024,"218.56","219.29","217.19","217.53","2,029,420"
02/15/2024,"216.62","219.62","216.35","219.02","1,299,624"
02/14/2024,"215.95","218.11","215.45","216.62","1,230,447"
02/13/2024,"215.99","216.56","211.86","215.95","3,570,521"
02/12/2024,"214.30","216.05","213.53","214.69","1,180,841"
02/09/2024,"212.39","214.99","212.04","214.50","1,465,734"
02/08/2024,"214.12","214.16","211.03","213.81","1,745,609"
02/07/2024,"213.87","215.10","213.07","214.22","1,760,638"
02/06/2024,"212.73","213.59","212.34","213.01","1,486,564"
02/05/2024,"214.00","214.48","211.81","213.08","1,020,244"
02/02/2024,"213.22","215.71","212.60","214.82","1,478,720"
02/01/2024,"210.13","212.67","209.03","212.02","2,015,293"
01/31/2024,"214.00","215.21","211.20","211.36","1,549,858"
01/30/2024,"211.49","213.65","210.82","213.54","1,150,810"
01/29/2024,"210.63","212.20","209.67","211.12","1,194,768"
01/26/2024,"211.65","212.24","210.98","211.43","1,337,760"
01/25/2024,"212.45","212.67","209.77","211.52","1,473,591"
01/24/2024,"212.66","213.26","210.64","210.98","1,647,134"
01/23/2024,"212.86","213.63","209.91","210.98","1,849,313"
01/22/2024,"212.74","215.21","212.24","213.86","2,099,716"
01/19/2024,"210.27","214.29","206.59","211.67","4,343,359"
01/18/2024,"195.57","198.85","195.57","198.35","1,591,163"
01/17/2024,"197.06","199.79","196.83","197.50","1,351,455"
01/16/2024,"195.59","196.84","194.54","196.71","1,489,496"
01/12/2024,"195.91","196.41","194.48","195.56","1,107,520"
01/11/2024,"193.93","195.16","191.88","194.87","1,381,195"
01/10/2024,"191.44","193.25","191.00","193.09","883,812"
01/09/2024,"192.18","192.71","189.87","192.20","1,097,925"
01/08/2024,"192.79","193.40","190.58","192.31","1,645,670"
01/05/2024,"191.69","194.11","191.69","193.07","1,580,735"
01/04/2024,"192.71","194.26","191.63","192.54","1,981,421"
01/03/2024,"191.75","194.03","191.29","191.30","1,739,608"
01/02/2024,"190.20","192.58","190.20","191.42","1,754,235"
12/29/2023,"189.34","190.82","188.81","190.49","1,048,455"
12/28/2023,"188.47","189.94","188.47","189.33","850,900"
12/27/2023,"186.12","188.73","186.12","188.62","1,020,704"
12/26/2023,"185.27","187.42","185.27","187.09","999,058"
12/22/2023,"186.08","187.00","184.96","185.80","1,100,012"
12/21/2023,"183.58","185.70","182.76","185.57","1,383,044"
12/20/2023,"186.26","186.55","183.65","183.84","1,360,393"
12/19/2023,"183.24","186.44","182.59","186.18","1,407,957"
12/18/2023,"183.62","184.12","182.70","183.41","1,631,971"
12/15/2023,"181.41","186.00","181.41","182.81","3,373,822"
12/14/2023,"185.57","185.97","181.03","182.77","2,237,343"
12/13/2023,"183.67","185.45","182.95","185.22","1,316,876"
12/12/2023,"182.56","184.59","181.79","183.66","935,291"
12/11/2023,"181.58","182.77","180.44","182.35","1,014,867"
12/08/2023,"181.99","182.51","180.65","181.26","853,475"
12/07/2023,"182.68","183.29","181.42","181.91","1,104,188"
12/06/2023,"184.73","185.55","182.55","183.13","1,180,407"
12/05/2023,"183.32","185.25","182.72","183.66","1,475,899"
12/04/2023,"182.05","184.34","181.32","183.19","2,288,095"
12/01/2023,"179.94","182.33","179.18","181.98","1,453,508"
11/30/2023,"177.80","181.18","177.61","180.62","3,555,694"
11/29/2023,"176.68","178.22","175.88","177.44","1,214,404"
11/28/2023,"178.39","178.74","176.45","176.84","988,736"
11/27/2023,"177.30","178.95","177.18","178.61","1,082,788"
11/24/2023,"176.71","178.60","176.57","177.54","416,678"
11/22/2023,"175.02","176.48","174.60","176.08","814,453"
11/21/2023,"172.38","175.92","172.38","175.06","1,059,131"
