Date,Open,High,Low,Close,Volume
02/21/2024,"236.81","236.81","233.82","235.38","551,566"
02/20/2024,"235.21","237.46","234.95","236.42","759,850"
02/16/2024,"236.59","238.70","235.76","236.49","697,398"
02/15/2024,"236.72","239.13","236.26","237.66","699,100"
02/14/2024,"235.12","235.86","230.94","235.49","1,050,790"
02/13/2024,"232.06","234.93","230.32","233.32","1,137,141"
02/12/2024,"236.00","237.44","234.46","236.21","1,239,087"
02/09/2024,"231.83","235.19","231.33","235.08","992,538"
02/08/2024,"233.84","235.01","230.49","231.83","1,192,197"
02/07/2024,"235.06","237.10","233.37","233.45","928,533"
02/06/2024,"232.56","235.00","230.40","233.79","987,786"
02/05/2024,"231.63","233.87","228.72","230.96","1,312,586"
02/02/2024,"234.07","234.56","226.52","232.94","1,916,363"
02/01/2024,"225.29","235.41","221.76","234.90","3,009,612"
01/31/2024,"227.81","228.29","224.27","224.60","2,148,303"
01/30/2024,"224.65","229.54","223.73","227.79","1,283,309"
01/29/2024,"226.39","230.32","225.09","226.34","2,019,736"
01/26/2024,"227.43","228.06","225.09","227.62","1,078,424"
01/25/2024,"226.00","226.78","223.64","226.33","1,451,394"
01/24/2024,"229.41","229.50","225.99","226.03","1,329,766"
01/23/2024,"231.36","232.13","226.43","228.40","1,642,506"
01/22/2024,"231.71","233.41","230.44","232.50","1,586,114"
01/19/2024,"230.56","233.52","228.92","231.06","1,685,089"
01/18/2024,"228.18","230.86","226.38","230.25","1,421,006"
01/17/2024,"220.78","227.65","220.78","227.53","2,313,180"
01/16/2024,"221.98","224.35","220.97","224.27","1,636,979"
01/12/2024,"221.43","224.02","219.72","223.57","1,016,192"
01/11/2024,"220.06","221.81","219.15","221.59","912,462"
01/10/2024,"220.73","221.40","219.18","220.03","1,220,478"
01/09/2024,"222.82","224.53","219.79","220.82","1,347,801"
01/08/2024,"218.20","223.71","217.82","223.53","1,290,306"
01/05/2024,"213.71","219.59","213.62","218.91","1,428,953"
01/04/2024,"212.65","215.98","212.65","215.04","1,250,072"
01/03/2024,"216.48","216.48","211.76","212.65","1,182,520"
01/02/2024,"213.26","219.66","212.74","216.57","1,329,367"
12/29/2023,"216.45","217.01","214.22","215.03","1,070,444"
12/28/2023,"213.17","217.77","212.68","215.90","1,276,919"
12/27/2023,"210.73","213.79","209.00","212.64","829,330"
12/26/2023,"211.50","212.57","210.62","210.73","849,727"
12/22/2023,"212.69","215.32","211.33","211.92","1,004,872"
12/21/2023,"212.26","213.82","210.93","211.70","912,909"
12/20/2023,"213.92","214.87","209.61","209.78","1,683,737"
12/19/2023,"216.37","217.82","215.56","216.14","978,628"
12/18/2023,"217.85","218.18","213.81","215.75","1,276,172"
12/15/2023,"221.60","221.60","216.15","217.30","2,866,212"
12/14/2023,"222.90","225.86","220.83","224.10","1,856,111"
12/13/2023,"215.82","221.13","213.97","220.46","1,122,850"
12/12/2023,"216.34","216.63","214.59","215.30","938,802"
12/11/2023,"212.60","216.64","212.45","216.07","1,234,479"
12/08/2023,"210.17","212.77","209.70","212.07","1,171,480"
12/07/2023,"208.81","210.02","207.00","209.05","1,093,375"
12/06/2023,"208.02","211.18","206.60","209.46","1,255,969"
12/05/2023,"207.44","208.22","205.48","207.19","965,377"
12/04/2023,"209.44","215.89","209.01","212.01","1,364,596"
12/01/2023,"203.40","210.24","203.03","210.07","1,341,652"
11/30/2023,"200.33","203.28","197.91","203.01","1,426,517"
11/29/2023,"200.59","205.37","200.12","200.19","841,227"
11/28/2023,"197.37","201.26","197.00","199.92","847,318"
11/27/2023,"198.02","199.34","197.44","197.78","1,247,431"
11/24/2023,"198.66","199.89","197.53","198.19","569,263"
