Date,Open,High,Low,Close,Volume
02/20/2024,"196.13","198.60","189.13","193.76","104,545,797"
02/16/2024,"202.06","203.17","197.40","199.95","111,346,703"
02/15/2024,"189.16","200.88","188.86","200.45","120,831,797"
02/14/2024,"185.30","188.89","183.35","188.71","81,202,992"
02/13/2024,"183.99","187.26","182.11","184.02","86,759,477"
02/12/2024,"192.11","194.73","187.28","188.13","95,498,602"
02/09/2024,"190.18","194.12","189.48","193.57","84,476,352"
02/08/2024,"189.00","191.62","185.58","189.56","83,034,039"
02/07/2024,"188.18","189.79","182.68","187.58","111,535,203"
02/06/2024,"177.21","186.49","177.11","185.10","122,676,000"
02/05/2024,"184.26","184.68","175.01","181.06","134,294,406"
02/02/2024,"185.04","188.69","182.00","187.91","110,612,703"
02/01/2024,"188.50","189.88","184.28","188.86","91,843,281"
01/31/2024,"187.00","193.97","185.85","187.29","103,221,398"
01/30/2024,"195.33","196.36","190.61","191.59","109,982,305"
01/29/2024,"185.63","191.48","183.67","190.93","125,013,102"
01/26/2024,"185.50","186.78","182.10","183.25","107,343,203"
01/25/2024,"189.70","193.00","180.06","182.63","198,076,797"
01/24/2024,"211.88","212.73","206.77","207.83","123,369,906"
01/23/2024,"211.30","215.65","207.75","209.14","106,605,906"
01/22/2024,"212.26","217.80","206.27","208.80","117,952,492"
01/19/2024,"209.99","213.19","207.56","212.19","102,260,305"
01/18/2024,"216.88","217.45","208.74","211.88","108,595,398"
01/17/2024,"214.86","215.67","212.01","215.55","103,164,398"
01/16/2024,"215.10","223.49","212.18","219.91","115,355,000"
01/12/2024,"220.08","225.34","217.15","218.89","123,043,797"
01/11/2024,"230.57","230.93","225.37","227.22","105,873,602"
01/10/2024,"235.10","235.50","231.29","233.94","91,628,492"
01/09/2024,"238.11","238.96","232.04","234.96","96,705,664"
01/08/2024,"236.14","241.25","235.30","240.45","85,166,578"
01/05/2024,"236.86","240.12","234.90","237.49","92,488,945"
01/04/2024,"239.25","242.70","237.73","237.93","102,629,297"
01/03/2024,"244.98","245.68","236.32","238.45","121,082,602"
01/02/2024,"250.08","251.25","244.41","248.42","104,654,203"
12/29/2023,"255.10","255.19","247.43","248.48","100,891,602"
12/28/2023,"263.66","265.13","252.71","253.18","113,619,906"
12/27/2023,"258.35","263.34","257.52","261.44","106,494,398"
12/26/2023,"254.49","257.97","252.91","256.61","86,892,383"
12/22/2023,"256.76","258.22","251.37","252.54","93,370,086"
12/21/2023,"251.90","254.80","248.55","254.50","109,594,203"
12/20/2023,"256.41","259.84","247.00","247.14","125,097,000"
12/19/2023,"253.48","258.34","253.01","257.22","106,737,398"
12/18/2023,"253.78","258.74","251.36","252.08","116,416,492"
12/15/2023,"251.21","254.13","248.30","253.50","135,932,797"
12/14/2023,"241.22","253.88","240.79","251.05","160,829,203"
12/13/2023,"234.19","240.30","228.20","239.29","146,286,297"
12/12/2023,"238.55","238.99","233.87","237.01","95,328,312"
12/11/2023,"242.74","243.44","237.45","239.74","97,913,891"
12/08/2023,"240.27","245.27","239.27","243.84","103,126,797"
12/07/2023,"241.55","244.08","236.98","242.64","107,142,305"
12/06/2023,"242.92","246.57","239.17","239.37","126,436,203"
12/05/2023,"233.87","246.66","233.70","238.72","137,971,109"
12/04/2023,"235.75","239.37","233.29","235.58","104,099,797"
12/01/2023,"233.14","240.19","231.90","238.83","121,331,695"
11/30/2023,"245.14","245.22","236.91","240.08","132,353,203"
11/29/2023,"249.21","252.75","242.76","244.14","135,401,297"
11/28/2023,"236.68","247.00","234.01","246.72","148,549,906"
11/27/2023,"236.89","238.33","232.10","236.08","112,031,797"
11/24/2023,"233.75","238.75","232.33","235.45","65,125,199"
11/22/2023,"242.04","244.01","231.40","234.21","118,117,102"
