Date,Open,High,Low,Close,Volume
02/21/2024,"152.00","152.44","149.81","151.11","1,492,966"
02/20/2024,"153.03","154.37","150.48","151.94","2,076,613"
02/16/2024,"156.70","157.24","153.29","153.38","1,499,680"
02/15/2024,"155.72","157.43","155.21","156.96","1,283,046"
02/14/2024,"154.80","155.98","153.68","155.72","1,547,152"
02/13/2024,"154.48","155.58","151.66","153.49","2,385,262"
02/12/2024,"154.83","160.04","154.00","155.27","3,436,528"
02/09/2024,"154.89","158.11","152.23","154.91","6,604,144"
02/08/2024,"170.61","171.59","168.32","169.60","3,063,079"
02/07/2024,"168.35","169.68","167.51","169.57","1,406,004"
02/06/2024,"164.35","166.72","164.00","166.67","925,069"
02/05/2024,"165.72","166.11","163.70","164.01","1,530,413"
02/02/2024,"166.53","168.25","165.99","167.00","1,121,089"
02/01/2024,"164.57","166.33","162.44","166.33","1,105,583"
01/31/2024,"165.34","166.85","164.33","164.93","1,078,907"
01/30/2024,"166.48","168.24","165.68","166.94","1,280,780"
01/29/2024,"167.94","168.22","165.97","168.02","1,155,400"
01/26/2024,"168.50","169.56","167.30","167.39","1,123,140"
01/25/2024,"167.87","168.52","166.77","168.50","1,524,323"
01/24/2024,"166.12","168.16","164.82","165.90","1,050,378"
01/23/2024,"165.15","165.78","164.14","165.15","827,096"
01/22/2024,"164.97","165.54","163.59","164.43","875,533"
01/19/2024,"160.89","163.15","159.78","163.10","1,504,060"
01/18/2024,"161.32","162.23","158.98","159.86","1,202,792"
01/17/2024,"160.44","160.94","158.37","160.38","983,635"
01/16/2024,"161.25","163.60","160.25","161.88","1,265,027"
01/12/2024,"161.87","162.43","160.72","161.68","945,847"
01/11/2024,"159.24","161.80","158.55","161.54","1,255,743"
01/10/2024,"158.57","160.02","158.31","159.21","884,346"
01/09/2024,"158.82","161.14","158.45","159.22","1,067,084"
01/08/2024,"158.27","159.18","156.66","158.54","880,079"
01/05/2024,"158.52","159.79","157.80","158.21","1,039,093"
01/04/2024,"157.96","160.52","157.82","158.86","1,238,885"
01/03/2024,"158.89","159.18","157.48","158.40","1,061,438"
01/02/2024,"160.14","160.14","157.99","159.26","1,506,298"
12/29/2023,"161.50","162.92","160.72","160.95","916,755"
12/28/2023,"160.99","162.25","160.40","161.47","784,952"
12/27/2023,"161.59","161.73","160.50","160.99","937,004"
12/26/2023,"162.00","162.26","161.16","161.62","763,377"
12/22/2023,"158.88","162.90","158.88","161.95","1,347,553"
12/21/2023,"159.28","160.50","158.74","160.39","1,069,341"
12/20/2023,"158.21","160.45","157.50","157.96","1,569,336"
12/19/2023,"158.64","159.77","157.75","159.40","1,324,534"
12/18/2023,"160.54","161.45","157.84","158.57","1,962,581"
12/15/2023,"163.68","163.86","159.25","160.20","15,610,100"
12/14/2023,"163.29","164.85","162.40","163.89","3,013,448"
12/13/2023,"161.14","164.04","160.84","163.12","4,475,569"
12/12/2023,"155.14","157.34","154.66","157.20","2,270,635"
12/11/2023,"154.41","155.05","152.10","152.56","2,478,139"
12/08/2023,"154.38","156.72","154.08","155.32","2,078,756"
12/07/2023,"155.10","155.85","153.56","154.21","2,437,241"
12/06/2023,"157.50","158.81","156.55","157.32","2,544,881"
12/05/2023,"154.26","157.98","152.12","156.76","3,596,960"
12/04/2023,"157.35","158.45","154.50","157.56","1,878,865"
12/01/2023,"158.69","161.61","157.20","157.84","1,733,670"
11/30/2023,"157.17","158.54","156.50","158.20","1,508,258"
11/29/2023,"157.59","158.84","155.74","157.01","1,562,460"
11/28/2023,"156.27","158.17","156.27","156.68","1,324,690"
11/27/2023,"156.05","157.58","156.01","156.27","1,008,479"
11/24/2023,"156.40","156.54","155.43","156.32","539,167"
