Date,Open,High,Low,Close,Volume
02/20/2024,"159.37","162.91","159.26","162.74","5,406,180"
02/16/2024,"160.35","162.15","159.43","160.38","3,167,711"
02/15/2024,"158.90","161.27","158.90","160.71","3,725,291"
02/14/2024,"157.85","159.04","156.58","157.87","4,527,974"
02/13/2024,"158.26","159.42","155.46","156.85","5,358,099"
02/12/2024,"162.40","162.84","161.05","161.08","3,853,010"
02/09/2024,"161.28","162.48","160.63","162.40","3,919,501"
02/08/2024,"159.31","161.06","158.78","160.21","3,487,727"
02/07/2024,"159.93","160.29","158.23","158.77","4,627,927"
02/06/2024,"159.17","159.70","157.33","158.37","4,140,045"
02/05/2024,"159.99","159.99","157.59","158.90","4,190,141"
02/02/2024,"158.38","159.80","157.77","159.20","4,922,637"
02/01/2024,"159.22","159.87","156.66","159.69","6,542,100"
01/31/2024,"160.41","163.17","159.32","160.12","8,665,418"
01/30/2024,"162.90","163.78","161.54","162.05","4,897,565"
01/29/2024,"164.08","166.32","163.43","166.04","6,076,587"
01/26/2024,"166.20","166.20","163.28","164.09","8,800,892"
01/25/2024,"171.06","171.53","166.83","167.42","7,088,245"
01/24/2024,"171.29","172.90","168.54","170.07","15,100,360"
01/23/2024,"174.84","176.57","174.26","174.34","9,459,441"
01/22/2024,"174.00","176.65","173.62","174.83","6,850,732"
01/19/2024,"170.90","175.16","170.24","173.65","13,345,820"
01/18/2024,"164.67","167.38","163.18","166.91","6,583,726"
01/17/2024,"162.56","162.92","160.29","162.42","4,079,212"
01/16/2024,"164.40","165.48","162.60","163.88","6,682,863"
01/12/2024,"166.66","167.21","163.89","164.87","4,205,204"
01/11/2024,"167.16","167.88","165.03","165.60","5,635,776"
01/10/2024,"168.50","168.52","165.11","167.25","4,045,246"
01/09/2024,"166.00","170.52","166.00","168.63","5,018,646"
01/08/2024,"165.21","168.67","164.60","168.54","5,717,461"
01/05/2024,"164.90","166.23","164.15","165.10","3,087,213"
01/04/2024,"162.50","165.71","162.40","164.47","6,445,742"
01/03/2024,"167.99","168.50","166.21","166.74","5,874,964"
01/02/2024,"168.85","169.93","167.41","169.26","5,652,458"
12/29/2023,"171.54","171.70","169.92","170.46","2,920,688"
12/28/2023,"172.00","172.31","170.71","171.72","3,023,027"
12/27/2023,"171.22","171.62","170.33","171.23","3,264,990"
12/26/2023,"168.94","171.53","168.45","170.81","3,202,291"
12/22/2023,"167.26","168.92","166.82","168.24","3,492,393"
12/21/2023,"166.78","167.57","165.67","166.81","4,040,341"
12/20/2023,"168.05","168.59","165.07","165.18","5,098,714"
12/19/2023,"168.26","168.90","167.08","168.50","4,379,410"
12/18/2023,"168.45","168.97","165.86","167.42","5,015,234"
12/15/2023,"170.21","171.09","167.74","168.64","16,337,400"
12/14/2023,"163.67","169.22","163.16","168.78","11,428,510"
12/13/2023,"158.02","162.28","157.96","161.81","5,940,939"
12/12/2023,"159.90","159.90","157.44","157.92","4,714,513"
12/11/2023,"158.57","161.23","157.99","159.97","7,585,468"
12/08/2023,"157.29","158.32","156.29","157.03","4,732,348"
12/07/2023,"156.84","158.69","154.68","157.68","6,495,354"
12/06/2023,"159.13","159.61","155.95","156.05","4,952,260"
12/05/2023,"156.46","157.74","154.84","157.25","4,935,654"
12/04/2023,"154.58","157.54","154.02","157.42","6,571,960"
12/01/2023,"153.11","155.31","151.91","155.21","4,095,482"
11/30/2023,"154.68","154.71","151.27","152.71","6,641,361"
11/29/2023,"154.80","155.85","152.95","153.20","3,647,300"
11/28/2023,"152.11","153.03","151.42","152.90","3,883,801"
11/27/2023,"152.57","153.35","151.40","152.60","4,130,717"
11/24/2023,"154.32","154.43","153.16","153.59","1,604,823"
11/22/2023,"154.50","156.16","153.28","153.93","3,159,895"
