Date,Open,High,Low,Close,Volume
02/20/2024,"78.23","78.42","75.82","76.60","23,816,359"
02/16/2024,"80.55","80.88","78.11","78.41","24,457,480"
02/15/2024,"79.00","81.87","78.28","81.39","40,330,152"
02/14/2024,"74.60","79.20","74.31","79.15","69,846,648"
02/13/2024,"67.90","69.55","66.71","68.99","22,857,141"
02/12/2024,"71.00","71.38","68.74","69.12","19,554,939"
02/09/2024,"71.43","72.04","69.69","70.91","20,858,740"
02/08/2024,"71.93","73.05","71.20","71.61","21,618,180"
02/07/2024,"67.60","71.90","67.24","70.65","43,366,953"
02/06/2024,"69.06","70.68","68.44","70.47","34,596,121"
02/05/2024,"68.24","69.99","67.86","68.99","26,079,529"
02/02/2024,"66.98","68.25","66.51","68.07","18,671,770"
02/01/2024,"66.12","66.85","65.59","66.73","12,504,230"
01/31/2024,"65.70","66.25","64.85","65.27","17,026,410"
01/30/2024,"66.90","67.69","66.22","66.84","17,562,150"
01/29/2024,"65.60","67.10","65.56","66.98","15,902,040"
01/26/2024,"65.65","66.05","65.29","65.52","13,099,620"
01/25/2024,"64.28","66.03","63.71","66.00","21,962,971"
01/24/2024,"64.00","64.40","63.22","63.76","17,238,150"
01/23/2024,"64.50","64.81","63.69","64.32","13,619,610"
01/22/2024,"65.44","65.61","64.15","64.55","17,851,721"
01/19/2024,"64.90","65.39","64.41","65.11","20,339,430"
01/18/2024,"64.00","65.00","63.39","64.88","24,149,939"
01/17/2024,"62.95","63.42","61.68","63.12","19,971,590"
01/16/2024,"63.00","64.00","62.92","63.65","19,511,779"
01/12/2024,"63.20","64.92","63.00","63.20","26,374,740"
01/11/2024,"62.99","63.61","61.86","63.47","28,888,930"
01/10/2024,"60.28","62.61","60.28","62.41","30,788,930"
01/09/2024,"58.50","60.54","58.45","60.30","22,319,850"
01/08/2024,"58.09","59.16","57.85","59.01","21,213,039"
01/05/2024,"58.11","58.51","57.22","57.58","17,886,260"
01/04/2024,"58.25","58.99","57.73","57.80","20,370,660"
01/03/2024,"57.48","58.90","57.33","58.25","31,800,561"
01/02/2024,"60.73","60.91","57.93","58.38","41,978,578"
12/29/2023,"62.36","63.14","61.30","61.57","21,615,420"
12/28/2023,"63.45","63.53","62.84","63.14","13,795,600"
12/27/2023,"62.00","63.43","62.00","63.28","20,805,949"
12/26/2023,"61.71","62.20","61.31","61.98","16,077,190"
12/22/2023,"61.70","62.24","61.28","61.71","14,715,610"
12/21/2023,"61.24","61.76","60.83","61.46","19,999,590"
12/20/2023,"61.49","62.28","60.62","60.68","28,286,061"
12/19/2023,"61.88","62.70","61.69","62.12","26,813,801"
12/18/2023,"62.01","62.49","61.33","61.73","28,614,029"
12/15/2023,"62.16","63.53","61.41","61.86","364,261,188"
12/14/2023,"62.01","62.81","60.61","62.50","44,818,141"
12/13/2023,"62.71","62.88","61.45","61.97","41,661,680"
12/12/2023,"62.07","63.03","61.83","62.72","27,144,311"
12/11/2023,"61.53","62.99","60.94","62.46","30,389,680"
12/08/2023,"60.51","62.25","60.51","61.70","28,852,119"
12/07/2023,"59.67","61.00","59.53","60.98","34,410,191"
12/06/2023,"58.37","59.98","58.36","59.75","33,834,961"
12/05/2023,"58.01","58.66","57.70","57.97","39,170,602"
12/04/2023,"60.01","60.92","58.57","58.63","85,417,312"
12/01/2023,"56.67","57.87","56.25","57.35","28,539,900"
11/30/2023,"56.61","56.77","55.53","56.38","32,769,809"
11/29/2023,"56.49","57.13","56.15","56.40","23,496,211"
11/28/2023,"55.98","56.45","55.69","56.21","20,457,500"
11/27/2023,"55.47","56.46","55.29","56.06","19,101,869"
11/24/2023,"55.15","55.94","55.07","55.32","10,696,820"
11/22/2023,"55.10","55.82","54.96","55.37","18,467,670"
