Date,Open,High,Low,Close,Volume
02/22/2024,"163.51","165.86","162.78","164.49","660,207"
02/21/2024,"162.03","163.40","160.85","163.30","309,643"
02/20/2024,"161.09","162.78","160.69","162.43","390,846"
02/16/2024,"162.51","163.75","160.85","162.16","309,776"
02/15/2024,"163.28","163.64","161.83","162.72","391,312"
02/14/2024,"161.80","163.35","160.23","161.71","353,719"
02/13/2024,"162.24","163.44","160.19","160.60","397,711"
02/12/2024,"161.88","164.96","160.75","164.55","393,110"
02/09/2024,"161.99","162.80","161.27","162.38","270,273"
02/08/2024,"162.45","163.04","160.47","161.96","368,004"
02/07/2024,"162.48","164.34","161.92","162.45","292,698"
02/06/2024,"162.18","163.50","161.23","162.15","293,134"
02/05/2024,"162.22","164.12","161.70","162.67","409,383"
02/02/2024,"162.09","164.32","162.00","162.73","444,748"
02/01/2024,"158.44","164.81","157.69","163.14","690,417"
01/31/2024,"159.81","161.32","158.52","158.81","402,042"
01/30/2024,"159.33","161.20","158.90","158.95","570,888"
01/29/2024,"156.81","158.12","155.54","156.85","487,948"
01/26/2024,"157.73","159.43","156.86","157.57","458,316"
01/25/2024,"154.48","157.25","153.69","156.98","543,564"
01/24/2024,"154.52","154.52","150.11","153.35","798,496"
01/23/2024,"155.92","156.67","152.70","153.81","676,162"
01/22/2024,"158.50","159.94","155.81","156.05","497,714"
01/19/2024,"156.77","157.82","155.58","157.81","307,878"
01/18/2024,"155.22","156.88","154.19","156.39","451,003"
01/17/2024,"156.54","158.59","154.19","154.71","392,015"
01/16/2024,"157.40","158.14","155.82","157.95","350,986"
01/12/2024,"159.00","160.36","157.69","158.59","533,762"
01/11/2024,"156.41","158.75","156.04","158.39","387,323"
01/10/2024,"153.94","157.03","153.45","156.86","335,849"
01/09/2024,"153.47","155.57","153.27","154.28","331,672"
01/08/2024,"153.82","154.74","152.68","154.41","339,483"
01/05/2024,"152.21","155.22","152.21","153.70","660,026"
01/04/2024,"153.23","154.08","151.92","152.18","599,011"
01/03/2024,"155.49","156.11","152.39","153.04","472,182"
01/02/2024,"152.87","157.82","152.55","156.41","674,853"
12/29/2023,"152.70","153.05","151.35","152.44","239,880"
12/28/2023,"152.46","153.76","151.91","152.68","332,946"
12/27/2023,"153.93","153.95","151.70","152.61","374,397"
12/26/2023,"153.28","155.18","152.63","154.13","288,045"
12/22/2023,"151.50","153.58","151.25","153.08","382,749"
12/21/2023,"149.18","151.38","149.02","151.01","453,706"
12/20/2023,"151.34","151.57","148.00","148.08","424,774"
12/19/2023,"150.38","151.77","149.92","150.89","435,320"
12/18/2023,"149.50","150.22","147.33","149.95","545,570"
12/15/2023,"150.68","152.11","148.70","148.83","1,514,225"
12/14/2023,"150.00","152.81","149.92","151.47","682,158"
12/13/2023,"145.09","149.79","143.97","149.31","485,825"
12/12/2023,"144.16","145.13","142.69","144.93","403,899"
12/11/2023,"140.71","143.57","139.90","143.42","510,724"
12/08/2023,"134.58","137.77","133.70","137.45","401,316"
12/07/2023,"135.45","135.45","133.86","134.35","462,122"
12/06/2023,"136.73","137.80","134.97","135.22","295,643"
12/05/2023,"138.96","139.20","136.08","136.11","359,043"
12/04/2023,"137.03","139.95","136.78","139.76","304,030"
12/01/2023,"137.52","138.97","137.32","137.70","439,915"
11/30/2023,"135.30","137.54","134.69","137.48","392,153"
11/29/2023,"136.74","137.66","135.29","135.75","357,972"
11/28/2023,"137.57","137.57","134.95","136.08","359,842"
11/27/2023,"138.35","138.59","136.10","137.23","470,190"
11/24/2023,"138.67","139.60","138.16","138.72","152,021"
