Date,Open,High,Low,Close,Volume
02/20/2024,"524.21","525.37","519.41","521.06","2,600,288"
02/16/2024,"522.30","523.79","518.89","521.55","2,135,586"
02/15/2024,"517.34","521.75","515.80","520.88","2,292,306"
02/14/2024,"515.26","518.53","514.29","516.94","1,918,535"
02/13/2024,"522.00","526.93","514.21","516.85","3,436,087"
02/12/2024,"518.22","518.99","512.81","517.64","3,194,016"
02/09/2024,"518.99","520.39","516.29","518.22","2,715,493"
02/08/2024,"520.63","522.16","517.28","520.09","3,342,976"
02/07/2024,"514.01","521.00","512.69","519.39","4,109,062"
02/06/2024,"503.94","510.94","502.45","510.67","2,745,515"
02/05/2024,"509.96","514.20","500.05","502.96","3,646,516"
02/02/2024,"508.25","512.91","505.39","510.23","3,804,521"
02/01/2024,"508.83","510.22","503.00","507.14","4,242,580"
01/31/2024,"504.51","515.00","504.51","511.74","5,358,104"
01/30/2024,"504.54","506.05","499.22","503.61","4,931,215"
01/29/2024,"503.11","506.51","501.15","504.54","4,554,106"
01/26/2024,"493.28","503.69","489.90","503.20","6,212,173"
01/25/2024,"487.59","495.51","479.00","493.40","14,671,000"
01/24/2024,"517.90","521.73","512.95","513.23","2,918,924"
01/23/2024,"512.50","518.08","512.08","515.52","2,673,106"
01/22/2024,"503.94","513.57","496.50","512.99","5,922,855"
01/19/2024,"515.00","517.55","501.82","503.56","6,143,395"
01/18/2024,"505.23","516.84","497.46","516.34","7,367,041"
01/17/2024,"521.28","530.66","520.00","524.94","3,791,496"
01/16/2024,"523.71","524.50","516.55","519.15","3,736,718"
01/12/2024,"518.86","528.48","513.13","521.51","6,327,267"
01/11/2024,"536.13","540.16","534.53","539.68","2,814,058"
01/10/2024,"538.10","541.20","536.15","537.64","2,179,994"
01/09/2024,"538.00","539.61","532.33","538.37","2,677,038"
01/08/2024,"539.40","540.25","528.00","536.52","2,648,939"
01/05/2024,"547.00","547.00","533.73","537.38","2,815,541"
01/04/2024,"545.00","549.00","543.00","545.42","2,994,377"
01/03/2024,"543.04","546.79","539.48","542.03","2,891,500"
01/02/2024,"526.84","539.66","526.67","539.34","3,415,659"
12/29/2023,"525.98","528.24","523.92","526.47","2,080,197"
12/28/2023,"523.47","527.87","522.94","524.90","2,001,208"
12/27/2023,"519.75","523.16","519.36","522.79","1,851,840"
12/26/2023,"519.88","521.48","517.97","520.03","1,390,912"
12/22/2023,"519.88","523.01","518.02","520.31","1,759,571"
12/21/2023,"518.88","520.82","516.50","519.88","2,491,554"
12/20/2023,"523.85","524.83","515.87","515.93","3,847,805"
12/19/2023,"524.59","527.62","521.78","524.04","3,645,785"
12/18/2023,"529.11","531.47","525.23","526.55","3,260,319"
12/15/2023,"530.00","533.50","522.96","531.12","9,030,116"
12/14/2023,"544.30","544.92","529.40","534.24","5,386,810"
12/13/2023,"544.00","549.42","538.59","549.01","2,876,618"
12/12/2023,"545.80","547.49","542.65","545.72","2,706,170"
12/11/2023,"549.76","550.00","539.06","543.68","3,655,411"
12/08/2023,"550.22","551.73","544.54","549.77","2,039,910"
12/07/2023,"551.35","551.51","544.52","548.27","2,511,800"
12/06/2023,"547.56","551.88","547.10","549.53","2,239,744"
12/05/2023,"549.10","552.53","545.35","550.26","2,645,818"
12/04/2023,"548.26","551.87","543.04","548.28","2,709,303"
12/01/2023,"550.42","554.70","545.16","547.16","3,462,153"
11/30/2023,"535.79","553.94","534.01","552.97","7,121,207"
11/29/2023,"530.00","541.86","528.65","534.98","4,549,977"
11/28/2023,"545.63","545.82","540.07","540.53","2,859,309"
11/27/2023,"547.10","550.89","541.53","543.59","2,675,815"
11/24/2023,"544.93","547.59","542.81","547.10","1,134,977"
11/22/2023,"542.97","544.40","540.26","543.76","2,234,478"
