Date,Open,High,Low,Close,Volume
02/20/2024,"246.59","247.32","244.87","247.14","1,907,246"
02/16/2024,"249.41","249.72","246.05","246.59","2,202,364"
02/15/2024,"250.00","251.39","248.79","250.55","2,252,309"
02/14/2024,"246.36","250.36","245.05","250.11","2,579,556"
02/13/2024,"246.00","246.27","243.74","245.61","2,664,132"
02/12/2024,"248.79","249.07","247.00","247.40","2,259,572"
02/09/2024,"248.14","249.55","246.50","249.45","2,012,493"
02/08/2024,"249.07","249.24","246.41","248.82","1,871,559"
02/07/2024,"250.74","251.65","248.96","249.16","2,337,204"
02/06/2024,"246.64","250.82","246.64","249.87","2,357,338"
02/05/2024,"247.35","249.12","246.48","246.64","2,701,337"
02/02/2024,"248.12","249.74","245.88","248.33","1,994,229"
02/01/2024,"245.34","249.44","244.71","249.27","2,116,306"
01/31/2024,"247.29","248.00","243.80","243.93","2,799,053"
01/30/2024,"243.87","246.98","242.31","246.70","2,435,616"
01/29/2024,"239.68","245.54","239.18","245.17","2,844,561"
01/26/2024,"241.47","242.21","238.26","240.39","2,493,459"
01/25/2024,"244.10","245.45","237.14","241.57","4,154,618"
01/24/2024,"243.76","245.42","242.33","242.33","2,843,494"
01/23/2024,"244.00","244.53","242.26","243.33","2,398,297"
01/22/2024,"242.76","244.00","241.11","243.11","3,005,342"
01/19/2024,"238.49","240.21","236.51","239.27","2,272,098"
01/18/2024,"235.56","238.77","235.07","237.99","2,326,484"
01/17/2024,"234.87","238.22","234.47","235.81","2,311,158"
01/16/2024,"237.80","238.25","235.29","236.21","2,578,748"
01/12/2024,"237.27","238.00","234.80","237.71","3,018,743"
01/11/2024,"238.45","238.45","234.80","236.38","2,219,342"
01/10/2024,"236.85","239.12","236.80","239.00","1,683,519"
01/09/2024,"239.29","239.29","236.05","237.41","2,055,185"
01/08/2024,"239.17","240.67","237.52","240.62","2,567,784"
01/05/2024,"241.90","242.00","238.41","239.91","2,316,918"
01/04/2024,"241.24","244.08","240.93","241.06","2,305,436"
01/03/2024,"242.80","243.96","240.98","241.70","1,748,272"
01/02/2024,"244.98","245.99","242.75","243.43","2,622,215"
12/29/2023,"245.99","246.54","244.73","245.62","1,228,687"
12/28/2023,"246.04","246.99","245.20","246.02","1,208,598"
12/27/2023,"244.65","246.70","244.31","245.81","2,205,986"
12/26/2023,"243.62","246.43","243.62","245.29","1,454,117"
12/22/2023,"243.00","244.95","242.33","243.58","1,824,809"
12/21/2023,"238.12","242.34","237.60","242.11","2,603,197"
12/20/2023,"240.22","242.12","237.70","237.84","2,724,760"
12/19/2023,"241.33","243.43","240.00","242.65","2,314,244"
12/18/2023,"243.05","243.89","240.94","241.10","2,457,617"
12/15/2023,"237.64","242.86","237.40","241.98","4,768,518"
12/14/2023,"239.66","245.07","239.04","242.86","4,863,594"
12/13/2023,"232.93","236.81","231.56","236.69","3,926,716"
12/12/2023,"233.09","234.54","232.53","232.91","2,427,466"
12/11/2023,"229.92","232.34","229.54","232.03","1,810,413"
12/08/2023,"231.64","232.92","229.51","229.77","2,544,779"
12/07/2023,"232.42","232.90","230.54","231.49","2,075,095"
12/06/2023,"233.12","233.99","231.84","232.97","1,804,898"
12/05/2023,"232.79","233.13","230.90","232.17","2,632,486"
12/04/2023,"230.76","234.71","230.55","233.90","3,881,955"
12/01/2023,"227.41","232.35","226.24","231.37","3,239,020"
11/30/2023,"222.25","225.64","220.65","225.27","4,430,060"
11/29/2023,"222.83","223.88","220.85","221.47","1,228,889"
11/28/2023,"219.71","222.68","219.48","221.23","1,827,572"
11/27/2023,"223.74","224.09","219.37","219.85","2,369,208"
11/24/2023,"223.32","224.99","223.13","224.28","1,045,594"
11/22/2023,"222.74","224.28","222.12","223.49","1,716,193"
