Date,Open,High,Low,Close,Volume
02/20/2024,"147.88","149.77","147.03","148.64","4,255,142"
02/16/2024,"145.66","148.99","144.94","148.41","5,442,411"
02/15/2024,"145.27","147.49","144.17","146.98","3,855,407"
02/14/2024,"145.20","145.89","143.47","144.22","3,831,417"
02/13/2024,"146.01","146.70","143.30","144.90","3,705,965"
02/12/2024,"146.50","147.95","146.35","147.45","3,253,654"
02/09/2024,"147.70","147.83","145.91","146.26","2,825,926"
02/08/2024,"146.80","148.08","145.86","147.92","3,316,375"
02/07/2024,"146.08","147.79","145.09","147.24","3,985,185"
02/06/2024,"141.71","146.43","141.35","145.92","7,567,385"
02/05/2024,"141.26","141.26","138.90","139.08","4,536,680"
02/02/2024,"141.88","142.39","139.55","141.85","4,343,019"
02/01/2024,"142.00","142.70","139.60","142.41","6,774,935"
01/31/2024,"144.81","145.59","141.90","141.90","10,906,800"
01/30/2024,"146.80","149.50","144.57","145.06","16,983,631"
01/29/2024,"158.41","158.75","156.50","158.02","5,459,688"
01/26/2024,"160.07","161.35","158.25","159.30","2,818,351"
01/25/2024,"158.55","160.33","158.16","159.71","4,069,996"
01/24/2024,"160.79","160.82","156.53","156.58","3,187,644"
01/23/2024,"159.03","160.46","158.63","160.06","3,442,999"
01/22/2024,"157.78","159.28","157.31","158.60","2,631,588"
01/19/2024,"156.96","157.81","155.02","156.89","3,097,636"
01/18/2024,"155.26","156.92","153.82","156.53","3,095,886"
01/17/2024,"153.57","154.82","152.02","154.56","3,930,212"
01/16/2024,"158.17","158.17","155.14","155.33","5,331,422"
01/12/2024,"160.23","161.00","158.29","158.31","3,474,558"
01/11/2024,"161.44","161.47","158.88","159.25","3,341,989"
01/10/2024,"160.14","161.48","159.36","161.22","2,399,421"
01/09/2024,"159.02","160.26","158.30","159.94","2,639,683"
01/08/2024,"158.57","159.99","157.48","159.92","2,469,699"
01/05/2024,"156.42","159.46","156.25","158.72","2,537,266"
01/04/2024,"157.05","158.32","156.41","156.99","3,173,410"
01/03/2024,"157.27","159.29","156.18","157.54","3,257,197"
01/02/2024,"156.94","160.52","156.30","158.34","4,363,762"
12/29/2023,"157.08","158.19","156.13","157.23","2,186,585"
12/28/2023,"155.90","157.76","155.90","157.31","2,254,926"
12/27/2023,"158.02","158.44","156.27","156.84","3,116,363"
12/26/2023,"157.05","158.54","157.05","158.03","2,384,111"
12/22/2023,"158.00","159.59","157.82","158.25","2,332,482"
12/21/2023,"157.60","157.92","155.24","157.16","3,778,550"
12/20/2023,"156.87","160.55","156.50","156.96","5,624,485"
12/19/2023,"162.01","162.20","160.16","161.62","3,926,466"
12/18/2023,"163.38","163.82","161.39","161.57","3,883,790"
12/15/2023,"161.37","163.81","160.06","162.94","8,738,189"
12/14/2023,"158.96","163.47","158.78","162.36","6,401,948"
12/13/2023,"154.84","157.39","154.02","157.25","4,058,137"
12/12/2023,"155.95","157.11","154.92","155.37","3,039,948"
12/11/2023,"155.65","156.37","154.84","155.78","3,742,139"
12/08/2023,"156.08","157.68","155.96","156.30","2,845,911"
12/07/2023,"155.87","157.61","155.50","156.50","3,241,213"
12/06/2023,"155.02","156.06","154.46","155.29","2,995,804"
12/05/2023,"155.00","155.53","153.56","154.16","2,485,296"
12/04/2023,"153.72","156.23","153.29","155.92","2,717,892"
12/01/2023,"151.99","154.97","151.02","154.91","3,945,323"
11/30/2023,"152.85","153.07","150.77","151.61","4,664,443"
11/29/2023,"151.52","153.46","151.45","152.29","2,981,656"
11/28/2023,"149.70","151.08","148.98","150.74","3,074,002"
11/27/2023,"151.04","151.44","149.57","149.59","3,320,030"
11/24/2023,"151.17","152.04","150.75","152.03","1,644,358"
11/22/2023,"150.96","151.24","149.94","150.75","2,640,250"
