Date,Open,High,Low,Close,Volume
02/20/2024,"641.65","647.92","638.01","643.91","466,706"
02/16/2024,"659.27","660.47","648.71","650.31","366,563"
02/15/2024,"655.05","662.06","648.00","660.96","359,304"
02/14/2024,"646.99","657.99","643.15","654.04","616,086"
02/13/2024,"639.05","645.57","629.58","636.88","726,927"
02/12/2024,"650.96","673.68","650.96","663.53","519,077"
02/09/2024,"647.65","653.08","643.93","650.35","363,437"
02/08/2024,"651.77","656.12","644.35","647.00","609,663"
02/07/2024,"658.06","658.86","649.35","652.73","402,991"
02/06/2024,"649.33","654.54","645.00","654.54","478,422"
02/05/2024,"649.22","649.65","636.07","645.57","650,252"
02/02/2024,"640.95","658.63","639.89","654.20","491,362"
02/01/2024,"635.92","646.76","620.27","645.37","646,148"
01/31/2024,"639.20","641.25","624.20","625.40","1,012,521"
01/30/2024,"642.00","653.25","642.00","642.98","504,822"
01/29/2024,"633.83","648.25","632.58","647.73","597,852"
01/26/2024,"653.00","653.21","629.30","630.75","1,423,813"
01/25/2024,"608.85","658.51","596.84","651.64","2,662,425"
01/24/2024,"586.97","591.67","576.25","576.90","959,384"
01/23/2024,"582.76","584.95","574.09","578.07","598,463"
01/22/2024,"575.85","585.94","574.41","578.88","606,946"
01/19/2024,"566.81","572.35","555.34","572.03","651,195"
01/18/2024,"557.01","565.21","553.22","563.37","553,195"
01/17/2024,"554.69","561.31","545.16","550.32","635,519"
01/16/2024,"552.00","566.33","551.95","561.13","524,779"
01/12/2024,"558.05","560.75","551.35","559.18","512,751"
01/11/2024,"549.68","552.83","536.83","551.70","567,222"
01/10/2024,"548.97","551.73","543.18","549.68","372,714"
01/09/2024,"543.27","548.57","539.23","548.02","435,779"
01/08/2024,"538.66","551.77","533.70","550.83","500,710"
01/05/2024,"537.19","548.46","535.23","541.39","670,875"
01/04/2024,"549.08","558.26","546.68","548.86","547,851"
01/03/2024,"556.58","558.43","546.76","547.16","828,776"
01/02/2024,"568.81","575.08","562.51","567.10","444,028"
12/29/2023,"580.30","582.99","570.63","573.42","300,481"
12/28/2023,"564.22","581.58","563.03","578.69","268,794"
12/27/2023,"582.41","582.41","574.50","578.86","488,406"
12/26/2023,"573.13","585.50","572.10","580.47","607,256"
12/22/2023,"570.17","575.50","566.37","570.51","363,847"
12/21/2023,"568.00","571.45","563.05","570.95","445,721"
12/20/2023,"568.00","578.20","556.62","558.27","1,272,628"
12/19/2023,"573.98","582.63","569.50","574.20","669,265"
12/18/2023,"577.11","577.11","562.81","568.23","845,869"
12/15/2023,"564.20","581.00","562.50","571.74","1,486,114"
12/14/2023,"540.58","571.08","537.89","569.43","1,408,843"
12/13/2023,"511.72","534.51","504.65","530.16","864,810"
12/12/2023,"503.90","514.68","503.23","509.58","551,583"
12/11/2023,"491.71","505.90","491.60","505.14","556,737"
12/08/2023,"483.81","498.96","483.47","495.06","556,660"
12/07/2023,"477.19","485.09","475.52","484.02","424,944"
12/06/2023,"477.05","488.01","475.43","476.44","495,775"
12/05/2023,"477.42","486.69","474.56","475.50","847,649"
12/04/2023,"495.06","497.13","485.81","490.09","1,013,068"
12/01/2023,"478.75","505.16","477.74","501.83","1,127,732"
11/30/2023,"479.10","481.37","473.58","476.02","754,931"
11/29/2023,"461.79","480.68","461.53","476.22","861,655"
11/28/2023,"462.25","465.21","454.71","455.88","459,788"
11/27/2023,"462.88","466.35","461.19","464.19","474,275"
11/24/2023,"464.40","469.35","462.03","467.31","220,704"
11/22/2023,"465.45","467.34","460.00","463.42","532,067"
