Date,Open,High,Low,Close,Volume
02/16/2024,"41.15","41.82","40.82","41.49","7,287,467"
02/15/2024,"40.86","41.72","40.77","41.55","7,064,240"
02/14/2024,"40.46","40.70","40.09","40.50","5,904,873"
02/13/2024,"40.23","40.48","39.41","39.93","9,106,218"
02/12/2024,"40.23","41.44","40.14","41.07","10,304,780"
02/09/2024,"40.30","40.39","39.77","40.18","10,684,760"
02/08/2024,"39.70","40.43","39.39","40.37","7,601,841"
02/07/2024,"40.24","40.32","38.87","39.91","12,255,310"
02/06/2024,"40.05","40.51","39.92","40.10","8,728,548"
02/05/2024,"40.44","40.49","39.92","40.10","8,880,323"
02/02/2024,"40.50","41.11","40.07","40.84","11,269,410"
02/01/2024,"41.58","41.69","39.97","40.89","16,002,810"
01/31/2024,"42.46","42.99","41.40","41.54","13,026,130"
01/30/2024,"42.87","43.40","42.68","43.34","8,055,408"
01/29/2024,"42.62","42.97","42.33","42.95","7,475,843"
01/26/2024,"42.62","43.01","42.30","42.64","7,242,508"
01/25/2024,"42.98","43.06","42.21","42.81","8,173,610"
01/24/2024,"42.38","42.98","42.24","42.48","11,196,610"
01/23/2024,"41.97","42.14","41.31","41.97","7,420,262"
01/22/2024,"42.10","42.35","41.35","41.78","10,374,280"
01/19/2024,"40.29","42.05","39.98","42.01","14,397,720"
01/18/2024,"40.89","41.00","39.05","40.15","15,244,050"
01/17/2024,"41.35","41.74","40.16","40.82","14,567,040"
01/16/2024,"41.67","41.78","40.96","41.38","14,398,990"
01/12/2024,"42.87","43.11","41.70","42.15","9,493,950"
01/11/2024,"43.30","43.30","42.05","42.82","10,017,450"
01/10/2024,"43.31","43.44","42.90","43.40","7,885,978"
01/09/2024,"43.37","43.87","43.19","43.46","5,132,888"
01/08/2024,"43.61","44.05","43.19","43.96","6,459,254"
01/05/2024,"42.95","44.33","42.94","43.81","7,616,824"
01/04/2024,"42.94","43.60","42.81","43.21","7,192,781"
01/03/2024,"43.38","43.41","42.61","42.75","7,133,329"
01/02/2024,"43.12","44.02","42.89","43.91","9,050,498"
12/29/2023,"43.52","43.81","43.23","43.28","6,441,020"
12/28/2023,"43.43","43.75","43.27","43.63","5,172,015"
12/27/2023,"43.95","44.22","43.72","43.94","5,083,452"
12/26/2023,"43.62","44.23","43.42","44.07","5,343,575"
12/22/2023,"43.35","43.82","43.21","43.51","6,899,098"
12/21/2023,"42.88","43.45","42.74","43.31","8,134,208"
12/20/2023,"43.73","44.00","42.15","42.46","15,460,160"
12/19/2023,"44.13","44.57","43.82","44.21","8,609,536"
12/18/2023,"45.30","45.30","44.04","44.05","9,678,673"
12/15/2023,"44.72","45.48","44.43","45.01","25,971,699"
12/14/2023,"43.89","45.85","43.63","45.33","28,236,840"
12/13/2023,"40.52","42.57","40.36","42.49","15,133,020"
12/12/2023,"40.39","40.56","40.13","40.45","8,818,837"
12/11/2023,"40.29","40.66","40.00","40.53","10,921,050"
12/08/2023,"39.78","40.60","39.60","40.43","9,485,036"
12/07/2023,"39.32","39.90","39.11","39.73","8,087,069"
12/06/2023,"39.70","40.41","39.06","39.08","8,774,311"
12/05/2023,"39.26","39.66","39.05","39.40","9,212,586"
12/04/2023,"39.21","39.95","39.21","39.49","10,125,930"
12/01/2023,"37.90","39.51","37.84","39.38","10,124,300"
11/30/2023,"38.00","38.29","37.68","38.12","10,283,470"
11/29/2023,"37.35","38.11","37.26","37.79","7,772,316"
11/28/2023,"36.67","37.14","36.50","37.04","9,666,026"
11/27/2023,"36.83","37.02","36.59","36.79","5,971,957"
11/24/2023,"36.80","37.37","36.67","37.20","2,796,765"
11/22/2023,"37.27","37.38","36.72","36.83","6,742,562"
11/21/2023,"37.21","37.57","36.99","37.01","6,051,169"
