Date,Open,High,Low,Close,Volume
02/16/2024,"142.26","142.26","139.07","139.54","3,002,131"
02/15/2024,"140.24","143.43","140.06","141.99","2,729,935"
02/14/2024,"142.49","143.05","138.22","141.04","4,085,272"
02/13/2024,"142.05","142.88","139.84","141.57","2,730,542"
02/12/2024,"143.75","144.20","142.26","142.53","2,825,184"
02/09/2024,"141.82","143.28","141.16","143.06","3,795,009"
02/08/2024,"141.50","142.37","140.93","141.80","2,673,483"
02/07/2024,"138.30","141.20","137.00","141.18","3,014,906"
02/06/2024,"140.90","143.04","137.43","137.83","7,279,776"
02/05/2024,"137.11","141.01","135.78","140.41","3,462,507"
02/02/2024,"138.65","139.33","135.62","137.85","3,639,739"
02/01/2024,"139.58","141.29","133.82","138.29","4,695,308"
01/31/2024,"141.28","142.51","138.60","138.90","4,273,480"
01/30/2024,"137.51","142.02","137.14","141.89","4,304,129"
01/29/2024,"138.00","138.92","136.63","138.38","3,464,182"
01/26/2024,"134.46","137.98","133.87","137.91","5,285,988"
01/25/2024,"133.48","135.91","131.60","134.46","5,293,282"
01/24/2024,"130.48","130.89","129.27","130.15","3,140,836"
01/23/2024,"128.80","130.20","127.64","129.11","2,883,326"
01/22/2024,"127.72","129.63","126.52","129.12","2,903,021"
01/19/2024,"126.63","128.17","125.99","128.16","2,964,812"
01/18/2024,"125.88","126.45","124.02","125.96","2,565,609"
01/17/2024,"127.36","128.89","125.78","126.31","2,764,600"
01/16/2024,"132.51","135.74","129.02","129.30","3,519,399"
01/12/2024,"130.00","131.70","129.68","131.50","3,276,282"
01/11/2024,"125.68","128.09","125.49","128.00","2,388,126"
01/10/2024,"127.25","127.65","124.12","124.77","2,714,361"
01/09/2024,"128.80","128.87","126.68","127.17","2,273,329"
01/08/2024,"126.51","129.41","124.56","129.27","2,756,528"
01/05/2024,"130.51","131.35","128.07","129.00","2,958,153"
01/04/2024,"134.57","135.72","130.23","130.31","2,586,462"
01/03/2024,"130.59","135.12","130.52","133.74","3,078,014"
01/02/2024,"130.64","131.92","130.05","130.66","2,638,194"
12/29/2023,"130.75","131.02","129.32","130.00","1,964,013"
12/28/2023,"131.00","132.00","129.96","130.09","1,661,194"
12/27/2023,"132.76","133.25","131.45","131.82","1,358,141"
12/26/2023,"132.95","134.32","132.39","133.19","1,807,112"
12/22/2023,"133.10","134.25","132.09","132.20","2,279,046"
12/21/2023,"132.65","133.30","130.27","131.92","2,977,065"
12/20/2023,"134.23","136.73","132.05","132.54","4,492,232"
12/19/2023,"131.93","134.13","130.74","133.60","3,741,345"
12/18/2023,"130.52","132.80","130.10","131.92","3,621,111"
12/15/2023,"126.83","128.92","126.79","128.57","9,641,837"
12/14/2023,"126.84","129.54","126.22","129.18","4,415,302"
12/13/2023,"120.67","124.86","120.34","124.80","4,238,393"
12/12/2023,"122.48","122.48","120.21","120.90","4,041,742"
12/11/2023,"122.62","124.27","121.78","123.48","3,293,457"
12/08/2023,"123.31","124.19","122.10","122.74","2,176,131"
12/07/2023,"123.42","124.71","121.75","122.07","3,277,746"
12/06/2023,"124.65","124.65","122.51","122.73","3,454,113"
12/05/2023,"126.51","128.90","125.51","125.65","3,128,594"
12/04/2023,"124.78","127.09","124.13","126.46","2,960,032"
12/01/2023,"125.00","128.33","125.00","126.38","2,516,478"
11/30/2023,"124.97","126.19","122.94","125.36","4,460,737"
11/29/2023,"126.52","127.43","123.40","124.08","3,180,533"
11/28/2023,"125.78","127.11","125.08","125.24","2,045,460"
11/27/2023,"124.19","125.90","123.80","125.61","2,454,979"
11/24/2023,"125.95","127.20","124.58","124.96","1,204,878"
11/22/2023,"121.21","125.78","120.55","125.36","2,631,263"
11/21/2023,"123.88","124.15","122.32","123.17","2,369,905"
