Date,Open,High,Low,Close,Volume
02/16/2024,"86.42","86.70","85.80","86.09","1,486,355"
02/15/2024,"84.70","87.03","84.32","86.59","1,767,697"
02/14/2024,"83.04","84.46","82.90","84.22","1,413,997"
02/13/2024,"81.92","83.78","81.23","82.19","1,068,944"
02/12/2024,"82.53","83.79","82.04","83.50","1,681,787"
02/09/2024,"82.57","83.55","81.99","82.13","1,319,529"
02/08/2024,"81.73","83.89","81.50","82.56","2,085,564"
02/07/2024,"80.24","82.96","79.43","81.16","2,520,341"
02/06/2024,"75.21","77.72","75.05","77.62","1,552,898"
02/05/2024,"76.07","76.61","75.49","75.77","1,323,430"
02/02/2024,"76.69","77.13","75.34","76.84","1,069,247"
02/01/2024,"76.75","77.13","75.17","76.79","1,508,019"
01/31/2024,"78.33","78.60","76.61","76.69","2,405,758"
01/30/2024,"77.74","78.37","76.83","78.33","1,199,127"
01/29/2024,"76.63","77.96","76.06","77.90","1,044,183"
01/26/2024,"77.07","78.10","76.44","76.99","997,632"
01/25/2024,"76.45","76.94","75.99","76.70","1,081,051"
01/24/2024,"79.50","79.50","76.22","76.26","1,338,565"
01/23/2024,"80.50","80.50","78.86","78.89","1,202,811"
01/22/2024,"77.66","79.76","77.50","79.69","1,496,056"
01/19/2024,"75.87","77.68","75.87","77.55","1,280,970"
01/18/2024,"75.84","76.58","75.03","76.01","1,253,369"
01/17/2024,"74.47","75.98","74.27","75.88","1,469,107"
01/16/2024,"74.36","75.28","73.91","74.55","1,342,697"
01/12/2024,"76.21","76.42","75.00","75.76","1,066,082"
01/11/2024,"76.40","76.59","74.96","76.08","1,020,115"
01/10/2024,"76.40","76.73","75.00","76.43","1,624,996"
01/09/2024,"77.50","77.58","76.72","76.74","2,100,342"
01/08/2024,"76.47","77.84","76.47","77.51","1,555,832"
01/05/2024,"76.61","77.64","76.25","76.90","1,899,250"
01/04/2024,"77.45","78.28","76.57","76.61","1,388,580"
01/03/2024,"80.60","80.90","77.75","78.05","1,198,293"
01/02/2024,"81.10","82.00","79.95","81.02","1,129,572"
12/29/2023,"82.84","83.36","81.86","82.26","675,034"
12/28/2023,"83.00","83.44","82.27","83.04","799,382"
12/27/2023,"82.14","83.50","81.98","83.22","1,018,083"
12/26/2023,"81.70","82.34","81.39","82.13","700,231"
12/22/2023,"80.64","81.79","80.03","81.64","712,712"
12/21/2023,"81.32","81.98","79.81","81.12","919,333"
12/20/2023,"83.55","83.89","80.62","80.64","1,704,062"
12/19/2023,"81.60","83.62","80.99","83.44","2,902,975"
12/18/2023,"79.19","80.92","78.43","80.84","1,954,959"
12/15/2023,"78.87","79.93","78.03","78.85","6,727,619"
12/14/2023,"78.51","79.72","77.63","79.33","3,230,981"
12/13/2023,"77.17","78.70","76.30","77.74","3,854,108"
12/12/2023,"76.37","77.88","75.78","77.45","2,329,324"
12/11/2023,"75.00","77.36","74.65","76.82","1,649,031"
12/08/2023,"74.60","75.65","74.27","75.43","1,131,349"
12/07/2023,"75.80","76.29","74.62","74.63","1,295,954"
12/06/2023,"75.55","76.49","75.02","75.83","2,001,213"
12/05/2023,"75.40","76.14","75.22","75.55","1,411,618"
12/04/2023,"75.97","76.92","75.49","75.78","1,625,807"
12/01/2023,"77.17","77.17","75.97","76.51","2,039,378"
11/30/2023,"74.70","77.62","74.70","77.25","8,454,137"
11/29/2023,"73.40","75.25","73.24","74.22","2,519,236"
11/28/2023,"72.93","74.54","72.85","73.32","2,062,140"
11/27/2023,"73.82","73.99","73.00","73.50","1,649,887"
11/24/2023,"72.66","74.13","72.23","74.01","823,414"
11/22/2023,"72.80","73.83","72.34","72.94","1,906,288"
11/21/2023,"70.80","72.80","70.47","72.31","1,767,834"
