Date,Open,High,Low,Close,Volume
02/20/2024,"253.22","254.83","249.49","251.38","1,115,275"
02/16/2024,"256.76","260.81","253.37","255.15","2,202,447"
02/15/2024,"243.47","244.60","239.64","242.46","1,187,499"
02/14/2024,"238.79","242.55","237.85","241.10","1,024,821"
02/13/2024,"236.00","238.04","234.53","237.12","859,592"
02/12/2024,"241.14","243.44","240.13","240.13","910,401"
02/09/2024,"237.74","240.11","237.40","240.00","1,050,318"
02/08/2024,"236.97","239.25","235.00","238.44","882,049"
02/07/2024,"234.00","237.53","233.51","236.52","822,407"
02/06/2024,"229.87","232.56","229.20","231.58","818,042"
02/05/2024,"232.40","234.31","227.66","229.65","1,064,983"
02/02/2024,"228.98","235.43","228.75","234.44","1,037,084"
02/01/2024,"227.27","230.66","223.90","230.36","702,732"
01/31/2024,"230.54","231.83","225.66","226.01","706,492"
01/30/2024,"228.80","232.01","228.69","231.05","753,314"
01/29/2024,"222.09","229.48","222.09","229.37","696,864"
01/26/2024,"223.41","224.30","222.00","222.36","691,621"
01/25/2024,"222.46","223.55","221.01","223.41","655,619"
01/24/2024,"224.05","224.27","219.73","219.80","823,068"
01/23/2024,"226.83","228.25","222.79","222.80","856,165"
01/22/2024,"226.82","229.80","226.58","227.28","722,224"
01/19/2024,"226.23","226.24","222.92","226.08","495,786"
01/18/2024,"221.68","225.22","221.33","225.12","469,895"
01/17/2024,"220.89","222.28","220.50","221.26","552,975"
01/16/2024,"223.29","223.54","220.90","222.38","637,661"
01/12/2024,"222.60","224.01","221.88","223.96","710,997"
01/11/2024,"226.20","226.52","223.57","224.36","640,105"
01/10/2024,"223.31","226.22","222.74","226.11","519,602"
01/09/2024,"221.97","223.50","220.38","223.42","406,232"
01/08/2024,"220.91","224.11","220.23","224.00","662,234"
01/05/2024,"220.13","223.77","219.58","221.62","618,683"
01/04/2024,"219.62","221.86","218.38","220.68","862,821"
01/03/2024,"222.08","222.08","218.37","219.33","744,572"
01/02/2024,"225.29","226.22","222.57","223.60","720,207"
12/29/2023,"225.55","227.33","225.13","227.01","559,228"
12/28/2023,"225.89","226.11","225.08","225.44","427,161"
12/27/2023,"225.00","226.07","224.46","225.82","461,706"
12/26/2023,"225.36","225.94","224.90","225.65","302,794"
12/22/2023,"224.05","224.95","223.13","224.93","470,124"
12/21/2023,"223.19","223.64","221.50","223.28","614,649"
12/20/2023,"223.67","224.36","220.87","221.18","540,883"
12/19/2023,"224.42","225.23","223.85","224.69","503,104"
12/18/2023,"224.58","224.58","221.66","222.70","832,682"
12/15/2023,"224.00","226.84","223.24","224.35","1,092,508"
12/14/2023,"224.88","225.30","221.32","224.76","917,584"
12/13/2023,"221.09","224.73","219.60","223.67","511,971"
12/12/2023,"220.59","222.08","218.41","220.90","619,773"
12/11/2023,"216.63","219.28","216.39","218.86","880,601"
12/08/2023,"213.73","216.83","212.67","216.03","563,573"
12/07/2023,"212.35","214.25","210.86","214.17","485,222"
12/06/2023,"213.63","216.08","211.66","211.93","717,892"
12/05/2023,"213.96","214.83","210.91","212.02","836,324"
12/04/2023,"214.67","216.29","213.48","214.80","830,932"
12/01/2023,"214.25","217.37","214.25","215.63","653,425"
11/30/2023,"212.49","213.81","209.60","213.56","808,500"
11/29/2023,"212.30","213.89","212.18","212.68","609,362"
11/28/2023,"212.85","214.00","210.24","211.16","802,153"
11/27/2023,"211.28","213.85","210.62","212.85","657,436"
11/24/2023,"211.96","212.48","210.72","211.68","172,521"
11/22/2023,"211.52","213.47","210.77","211.90","511,826"
