Date,Open,High,Low,Close,Volume
02/20/2024,"245.10","249.21","245.04","248.51","1,231,868"
02/16/2024,"247.38","247.38","244.16","244.70","1,399,207"
02/15/2024,"247.19","248.20","245.01","246.65","666,808"
02/14/2024,"244.54","246.32","243.44","246.14","988,495"
02/13/2024,"247.21","247.83","243.64","244.93","738,000"
02/12/2024,"249.25","250.41","246.92","247.13","575,068"
02/09/2024,"250.05","251.47","248.14","250.61","722,374"
02/08/2024,"250.01","251.83","248.37","249.26","641,100"
02/07/2024,"249.55","251.98","248.10","250.66","803,444"
02/06/2024,"247.50","248.75","246.77","248.47","518,299"
02/05/2024,"247.29","247.50","242.53","246.60","557,690"
02/02/2024,"246.57","248.65","244.75","247.78","549,539"
02/01/2024,"242.48","246.70","240.36","246.62","935,355"
01/31/2024,"247.05","247.71","241.14","241.53","1,187,310"
01/30/2024,"244.14","246.94","244.14","246.09","751,914"
01/29/2024,"243.22","244.94","242.83","244.57","644,664"
01/26/2024,"244.39","244.88","242.70","244.15","713,668"
01/25/2024,"244.58","245.31","241.16","243.48","508,085"
01/24/2024,"245.00","245.26","243.19","244.65","546,237"
01/23/2024,"243.01","243.91","241.85","243.84","673,102"
01/22/2024,"241.23","244.18","240.06","243.46","639,474"
01/19/2024,"237.83","241.03","237.40","240.12","803,330"
01/18/2024,"236.29","237.87","234.64","237.55","667,287"
01/17/2024,"236.05","237.89","232.72","236.67","681,679"
01/16/2024,"234.60","237.11","234.02","237.03","1,368,197"
01/12/2024,"235.64","236.88","233.65","236.77","619,063"
01/11/2024,"234.18","235.16","231.43","234.21","997,895"
01/10/2024,"235.30","236.17","232.85","233.96","730,612"
01/09/2024,"231.89","235.20","231.30","234.72","648,712"
01/08/2024,"232.95","234.22","229.53","232.71","1,139,868"
01/05/2024,"237.95","238.87","232.84","233.70","832,792"
01/04/2024,"237.52","239.13","237.27","237.95","707,759"
01/03/2024,"238.16","239.20","236.55","236.70","679,505"
01/02/2024,"237.82","239.27","236.68","237.98","743,720"
12/29/2023,"237.45","239.20","237.22","238.86","520,657"
12/28/2023,"238.28","238.69","236.71","237.61","374,431"
12/27/2023,"236.62","237.68","236.32","237.22","534,369"
12/26/2023,"235.94","238.11","235.03","237.03","516,460"
12/22/2023,"235.86","237.05","234.97","236.20","918,772"
12/21/2023,"233.21","235.41","232.83","235.01","646,345"
12/20/2023,"233.77","237.23","233.30","233.47","1,058,996"
12/19/2023,"237.38","238.10","234.12","234.46","1,107,430"
12/18/2023,"235.59","238.84","235.59","237.33","828,966"
12/15/2023,"235.51","237.28","233.06","235.00","2,637,972"
12/14/2023,"247.81","248.55","235.36","235.43","1,755,172"
12/13/2023,"244.15","248.08","243.08","247.23","1,037,167"
12/12/2023,"242.10","243.49","240.21","243.28","696,457"
12/11/2023,"234.95","240.80","232.92","240.11","944,291"
12/08/2023,"232.36","233.19","230.18","232.92","935,971"
12/07/2023,"235.32","235.38","233.02","233.75","773,651"
12/06/2023,"238.60","238.81","233.08","234.86","1,218,246"
12/05/2023,"238.70","240.42","236.17","238.60","796,325"
12/04/2023,"241.09","243.50","238.01","239.30","939,237"
12/01/2023,"240.61","243.54","239.77","242.73","702,401"
11/30/2023,"238.20","242.05","237.87","241.43","1,265,785"
11/29/2023,"240.32","241.10","237.40","238.26","721,528"
11/28/2023,"240.51","242.84","240.01","240.07","740,806"
11/27/2023,"240.34","242.61","240.09","241.00","721,030"
11/24/2023,"240.30","241.69","239.51","239.54","300,583"
11/22/2023,"240.68","242.95","239.89","240.03","706,906"
