Date,Open,High,Low,Close,Volume
02/20/2024,"420.79","425.00","416.16","420.64","1,056,496"
02/16/2024,"427.04","427.04","420.97","422.20","1,190,380"
02/15/2024,"419.16","427.41","418.61","426.29","1,473,968"
02/14/2024,"418.38","420.45","414.26","417.88","1,133,192"
02/13/2024,"417.36","419.42","412.77","416.04","1,163,878"
02/12/2024,"420.24","421.30","415.28","418.53","1,368,408"
02/09/2024,"425.96","425.96","419.51","422.91","1,169,486"
02/08/2024,"420.28","424.48","417.14","423.06","1,407,382"
02/07/2024,"416.74","426.72","416.74","419.08","1,989,886"
02/06/2024,"428.76","430.99","410.80","416.13","4,503,989"
02/05/2024,"424.99","430.93","421.90","428.89","1,920,031"
02/02/2024,"430.00","431.29","424.31","424.68","2,181,464"
02/01/2024,"434.00","435.91","431.00","433.87","1,484,716"
01/31/2024,"441.57","444.07","430.12","433.38","2,755,392"
01/30/2024,"430.00","448.40","429.69","446.08","3,330,077"
01/29/2024,"431.33","436.11","429.35","435.82","1,004,169"
01/26/2024,"431.03","432.19","428.14","430.17","944,509"
01/25/2024,"428.06","431.35","427.06","429.96","1,230,712"
01/24/2024,"436.93","437.39","424.34","427.56","1,670,882"
01/23/2024,"440.01","441.57","436.31","439.70","779,886"
01/22/2024,"437.64","443.82","437.64","440.11","1,411,437"
01/19/2024,"433.52","435.19","429.68","435.02","2,586,616"
01/18/2024,"431.59","434.88","425.41","432.98","1,339,239"
01/17/2024,"437.50","439.77","432.18","433.76","1,407,725"
01/16/2024,"431.78","438.03","430.46","437.49","1,787,149"
01/12/2024,"432.49","434.85","431.14","433.40","1,183,709"
01/11/2024,"422.72","431.10","422.58","430.08","1,593,086"
01/10/2024,"419.89","424.55","418.53","423.76","1,192,515"
01/09/2024,"418.69","422.00","415.64","421.01","1,106,248"
01/08/2024,"416.07","419.28","412.85","419.12","1,142,395"
01/05/2024,"415.01","418.52","414.42","416.50","1,000,283"
01/04/2024,"411.11","418.71","411.11","416.15","1,547,401"
01/03/2024,"412.43","414.43","408.06","410.71","1,026,557"
01/02/2024,"405.00","412.26","403.43","410.91","1,269,594"
12/29/2023,"409.00","409.62","406.07","406.89","727,543"
12/28/2023,"411.26","412.57","409.00","409.27","735,650"
12/27/2023,"408.65","409.00","405.59","408.05","594,117"
12/26/2023,"406.97","408.52","404.48","407.66","531,660"
12/22/2023,"403.59","406.91","402.35","405.25","804,290"
12/21/2023,"404.11","404.30","398.22","400.63","818,269"
12/20/2023,"404.00","405.99","400.08","400.25","909,556"
12/19/2023,"399.70","403.75","395.01","403.14","1,595,878"
12/18/2023,"411.74","413.00","400.23","404.65","1,867,348"
12/15/2023,"408.16","411.60","400.51","410.68","4,074,866"
12/14/2023,"404.10","406.86","396.15","406.60","3,124,912"
12/13/2023,"373.50","406.00","372.80","405.07","6,222,527"
12/12/2023,"360.00","361.80","355.66","357.73","972,386"
12/11/2023,"352.58","357.52","351.44","356.29","1,255,628"
12/08/2023,"354.00","354.35","348.46","350.15","1,394,568"
12/07/2023,"353.46","355.19","349.29","353.95","865,264"
12/06/2023,"355.28","356.33","351.11","353.46","1,137,711"
12/05/2023,"350.06","355.16","349.63","354.15","1,113,275"
12/04/2023,"349.00","352.90","347.51","350.63","1,469,512"
12/01/2023,"355.11","356.71","350.23","351.16","1,135,104"
11/30/2023,"352.79","355.37","350.19","354.81","1,636,953"
11/29/2023,"347.50","353.60","346.68","351.00","1,497,318"
11/28/2023,"350.32","353.03","346.29","347.04","1,154,122"
11/27/2023,"353.95","354.45","349.16","350.19","1,308,575"
11/24/2023,"354.95","355.41","350.44","353.04","658,708"
11/22/2023,"357.06","358.50","350.03","353.23","913,465"
