Date,Open,High,Low,Close,Volume
02/16/2024,"12.80","13.10","12.77","13.06","14,121,650"
02/15/2024,"12.18","12.94","12.18","12.82","15,259,040"
02/14/2024,"12.00","12.18","11.96","12.07","7,976,840"
02/13/2024,"11.86","12.01","11.71","11.97","12,276,550"
02/12/2024,"11.67","12.03","11.66","11.95","6,899,928"
02/09/2024,"11.51","11.70","11.45","11.68","6,460,852"
02/08/2024,"11.70","11.70","11.44","11.56","6,830,157"
02/07/2024,"11.90","11.92","11.66","11.74","6,505,131"
02/06/2024,"11.67","12.02","11.64","11.89","7,449,971"
02/05/2024,"11.77","11.77","11.54","11.58","5,514,241"
02/02/2024,"11.82","11.94","11.69","11.85","6,442,216"
02/01/2024,"11.72","11.93","11.52","11.87","6,760,390"
01/31/2024,"11.80","12.21","11.72","11.77","13,432,060"
01/30/2024,"11.84","11.86","11.64","11.81","5,618,950"
01/29/2024,"11.91","11.97","11.76","11.88","6,216,634"
01/26/2024,"11.85","11.97","11.80","11.93","7,106,290"
01/25/2024,"11.78","11.84","11.59","11.74","6,124,867"
01/24/2024,"11.82","11.91","11.65","11.72","6,947,453"
01/23/2024,"11.66","11.82","11.64","11.77","9,119,596"
01/22/2024,"11.38","11.65","11.35","11.64","10,607,310"
01/19/2024,"11.27","11.43","11.17","11.40","7,412,554"
01/18/2024,"11.44","11.46","11.16","11.27","7,480,272"
01/17/2024,"11.63","11.74","11.45","11.46","7,423,564"
01/16/2024,"11.61","11.77","11.51","11.75","9,516,647"
01/12/2024,"12.11","12.15","11.67","11.68","8,912,971"
01/11/2024,"12.02","12.40","11.89","12.07","22,241,949"
01/10/2024,"11.59","12.49","11.50","12.10","23,691,770"
01/09/2024,"11.65","11.76","11.56","11.60","7,613,198"
01/08/2024,"11.88","11.97","11.66","11.71","9,307,726"
01/05/2024,"11.55","12.08","11.52","11.98","20,139,449"
01/04/2024,"11.40","11.62","11.32","11.55","10,186,980"
01/03/2024,"11.42","11.48","11.30","11.37","9,780,925"
01/02/2024,"10.79","11.42","10.79","11.39","12,622,190"
12/29/2023,"10.82","10.87","10.75","10.83","6,213,234"
12/28/2023,"10.72","10.87","10.72","10.85","6,162,588"
12/27/2023,"10.70","10.79","10.65","10.77","5,568,540"
12/26/2023,"10.66","10.75","10.63","10.71","4,043,449"
12/22/2023,"10.67","10.78","10.60","10.65","6,034,393"
12/21/2023,"10.50","10.74","10.48","10.65","9,730,624"
12/20/2023,"10.42","10.63","10.38","10.45","13,041,490"
12/19/2023,"10.10","10.42","10.10","10.39","11,724,330"
12/18/2023,"10.30","10.34","10.09","10.10","10,106,530"
12/15/2023,"10.30","10.41","10.15","10.27","17,719,340"
12/14/2023,"10.20","10.56","10.20","10.39","13,241,930"
12/13/2023,"9.84","10.19","9.82","10.13","8,253,595"
12/12/2023,"9.86","9.88","9.74","9.87","6,843,061"
12/11/2023,"9.82","9.91","9.78","9.83","7,494,736"
12/08/2023,"9.77","9.92","9.74","9.83","8,616,661"
12/07/2023,"9.70","9.79","9.56","9.76","6,598,265"
12/06/2023,"9.64","9.79","9.62","9.69","8,907,972"
12/05/2023,"9.61","9.65","9.53","9.61","9,289,995"
12/04/2023,"9.32","9.76","9.31","9.68","13,388,450"
12/01/2023,"9.15","9.40","9.10","9.37","7,428,199"
11/30/2023,"9.15","9.24","9.08","9.18","9,445,829"
11/29/2023,"9.15","9.19","9.08","9.13","6,354,573"
11/28/2023,"9.32","9.34","9.11","9.14","6,722,866"
11/27/2023,"9.36","9.41","9.29","9.34","6,162,325"
11/24/2023,"9.39","9.45","9.33","9.43","3,071,415"
11/22/2023,"9.36","9.42","9.29","9.37","4,434,534"
11/21/2023,"9.45","9.49","9.33","9.38","10,959,790"
