Date,Open,High,Low,Close,Volume
02/20/2024,"40.41","40.91","40.27","40.50","12,069,520"
02/16/2024,"40.29","40.67","39.74","40.49","12,645,530"
02/15/2024,"40.21","40.62","40.18","40.59","12,081,360"
02/14/2024,"40.38","40.54","39.97","40.15","12,443,210"
02/13/2024,"40.20","40.46","39.68","40.13","14,483,640"
02/12/2024,"39.73","40.17","39.54","40.10","15,060,530"
02/09/2024,"39.90","40.09","39.26","39.72","18,479,410"
02/08/2024,"40.30","40.37","39.44","39.91","19,523,529"
02/07/2024,"41.10","41.14","40.36","40.42","21,815,619"
02/06/2024,"41.39","41.57","40.95","41.10","17,524,061"
02/05/2024,"42.00","42.18","41.28","41.38","20,466,160"
02/02/2024,"42.20","42.47","41.83","42.13","21,548,641"
02/01/2024,"42.68","42.72","41.97","42.49","19,586,539"
01/31/2024,"42.19","43.21","42.04","42.35","23,392,270"
01/30/2024,"42.00","42.60","41.81","42.47","20,044,561"
01/29/2024,"42.12","42.39","41.66","42.05","23,905,650"
01/26/2024,"42.29","42.49","42.10","42.40","20,367,180"
01/25/2024,"41.45","42.30","41.33","42.29","24,613,160"
01/24/2024,"42.23","42.34","41.19","41.28","27,910,400"
01/23/2024,"41.07","42.25","40.59","42.23","49,713,727"
01/22/2024,"39.40","39.72","39.31","39.58","26,039,189"
01/19/2024,"39.07","39.43","38.69","39.33","20,561,721"
01/18/2024,"38.53","39.01","38.46","38.94","17,112,789"
01/17/2024,"38.72","39.43","38.67","38.87","21,377,141"
01/16/2024,"38.58","39.35","38.35","39.29","31,039,449"
01/12/2024,"38.19","38.77","38.17","38.56","18,774,830"
01/11/2024,"39.03","39.04","37.56","37.90","31,289,770"
01/10/2024,"39.08","39.11","38.66","39.08","16,354,680"
01/09/2024,"39.25","39.25","38.77","39.04","17,880,131"
01/08/2024,"40.15","40.26","39.48","40.10","28,483,029"
01/05/2024,"39.47","40.37","39.30","40.20","30,276,670"
01/04/2024,"39.68","39.85","39.36","39.37","24,214,641"
01/03/2024,"39.53","39.72","39.13","39.16","26,263,891"
01/02/2024,"37.73","38.97","37.68","38.88","23,810,939"
12/29/2023,"37.38","37.76","37.32","37.70","16,222,670"
12/28/2023,"37.18","37.72","37.15","37.49","14,931,660"
12/27/2023,"37.33","37.46","37.20","37.31","15,267,630"
12/26/2023,"37.44","37.64","37.31","37.48","11,856,570"
12/22/2023,"37.42","37.79","37.40","37.49","13,171,600"
12/21/2023,"37.35","37.55","37.21","37.43","15,421,050"
12/20/2023,"37.50","37.73","37.28","37.30","18,134,650"
12/19/2023,"37.60","37.74","37.49","37.57","17,642,539"
12/18/2023,"37.72","37.80","37.27","37.67","22,057,189"
12/15/2023,"37.55","37.83","37.14","37.37","51,721,566"
12/14/2023,"37.25","37.98","37.18","37.87","28,551,570"
12/13/2023,"37.08","37.15","36.46","36.99","32,473,170"
12/12/2023,"37.57","37.64","37.17","37.30","17,096,699"
12/11/2023,"38.29","38.39","37.48","37.67","21,914,520"
12/08/2023,"38.66","38.68","38.01","38.25","21,850,381"
12/07/2023,"38.55","38.73","38.30","38.65","15,223,190"
12/06/2023,"38.25","38.88","38.08","38.50","20,218,551"
12/05/2023,"38.35","38.55","38.09","38.42","23,003,311"
12/04/2023,"38.40","38.57","38.03","38.04","22,109,240"
12/01/2023,"38.40","38.61","38.27","38.58","20,762,480"
11/30/2023,"37.83","38.44","37.82","38.33","36,623,539"
11/29/2023,"37.53","37.89","37.53","37.76","16,387,391"
11/28/2023,"37.35","37.51","37.20","37.47","14,521,680"
11/27/2023,"37.45","37.54","37.29","37.35","15,245,310"
11/24/2023,"37.45","37.57","37.30","37.41","6,766,657"
11/22/2023,"37.33","37.52","37.22","37.35","14,613,960"
