Date,Open,High,Low,Close,Volume
02/16/2024,"134.15","135.53","133.70","134.28","1,696,679"
02/15/2024,"135.11","136.57","132.77","133.96","2,022,765"
02/14/2024,"134.00","135.35","131.33","135.09","1,975,286"
02/13/2024,"135.62","136.98","134.91","136.40","1,685,728"
02/12/2024,"137.16","137.81","136.44","137.07","1,758,511"
02/09/2024,"137.00","137.56","136.15","136.68","1,296,031"
02/08/2024,"136.50","137.12","136.02","136.73","1,352,500"
02/07/2024,"135.50","137.33","135.04","136.50","1,444,822"
02/06/2024,"134.13","134.97","133.52","134.74","1,031,559"
02/05/2024,"133.42","134.30","132.51","133.90","1,189,180"
02/02/2024,"133.00","135.23","133.00","134.26","1,040,094"
02/01/2024,"132.28","133.79","131.59","133.40","808,920"
01/31/2024,"132.96","133.27","131.31","131.57","1,217,686"
01/30/2024,"130.99","132.87","130.83","132.69","1,267,108"
01/29/2024,"129.66","131.56","129.66","131.20","1,093,912"
01/26/2024,"130.02","130.87","129.34","129.98","660,190"
01/25/2024,"130.82","131.93","129.23","129.82","1,135,992"
01/24/2024,"129.66","130.15","128.96","129.50","860,041"
01/23/2024,"129.09","129.42","128.11","129.03","628,563"
01/22/2024,"128.56","129.04","128.28","128.58","683,184"
01/19/2024,"127.32","128.51","126.42","128.01","809,476"
01/18/2024,"126.00","126.89","125.67","126.74","915,841"
01/17/2024,"127.01","127.89","125.56","125.82","794,562"
01/16/2024,"128.93","129.00","127.44","128.16","1,329,531"
01/12/2024,"127.77","128.29","126.80","128.02","694,975"
01/11/2024,"128.07","128.48","126.49","126.99","1,267,340"
01/10/2024,"125.96","126.63","125.82","126.24","703,664"
01/09/2024,"125.37","126.50","124.76","126.25","974,778"
01/08/2024,"125.87","126.46","124.76","126.41","718,827"
01/05/2024,"124.12","126.32","124.08","125.49","1,463,115"
01/04/2024,"124.96","125.69","123.76","123.99","756,311"
01/03/2024,"125.36","125.46","124.27","124.68","921,325"
01/02/2024,"126.00","127.14","125.01","125.89","692,307"
12/29/2023,"126.94","127.48","126.50","126.90","397,041"
12/28/2023,"127.16","127.40","126.71","126.96","382,977"
12/27/2023,"126.51","127.40","126.21","127.14","410,633"
12/26/2023,"126.72","127.53","126.72","126.90","538,288"
12/22/2023,"126.56","127.57","126.26","126.61","612,995"
12/21/2023,"126.08","126.72","125.58","126.47","609,083"
12/20/2023,"125.71","127.15","124.89","124.91","1,103,813"
12/19/2023,"123.19","125.99","123.00","125.87","1,063,304"
12/18/2023,"122.56","123.10","121.85","122.67","838,109"
12/15/2023,"121.25","122.11","120.89","122.08","2,101,912"
12/14/2023,"122.66","123.47","121.65","121.80","1,456,841"
12/13/2023,"119.91","121.89","119.31","121.53","772,166"
12/12/2023,"119.32","120.28","118.79","119.90","757,893"
12/11/2023,"118.69","119.30","118.61","119.20","722,538"
12/08/2023,"118.74","119.75","117.88","118.40","740,796"
12/07/2023,"118.79","118.99","117.66","118.86","844,460"
12/06/2023,"119.49","120.47","118.17","118.29","1,074,172"
12/05/2023,"119.48","119.73","118.66","118.86","646,014"
12/04/2023,"119.26","120.53","118.73","119.95","966,393"
12/01/2023,"117.78","120.32","117.28","120.12","1,007,134"
11/30/2023,"115.33","116.61","114.45","116.56","1,412,560"
11/29/2023,"115.43","115.74","114.69","115.20","1,234,481"
11/28/2023,"116.86","116.86","114.90","115.09","789,530"
11/27/2023,"116.46","117.07","116.03","116.73","668,726"
11/24/2023,"116.37","117.63","116.08","117.06","281,105"
11/22/2023,"115.91","116.63","115.39","116.31","742,023"
11/21/2023,"115.77","116.64","115.25","116.05","682,108"
