Date,Open,High,Low,Close,Volume
02/16/2024,"21.99","22.11","21.78","21.98","10,218,330"
02/15/2024,"21.62","22.38","21.62","22.29","8,139,306"
02/14/2024,"21.60","21.93","21.42","21.54","9,077,466"
02/13/2024,"22.55","22.55","21.34","21.55","14,710,900"
02/12/2024,"22.35","22.96","22.25","22.63","8,902,987"
02/09/2024,"22.52","22.63","22.16","22.24","8,947,670"
02/08/2024,"22.81","22.92","22.47","22.54","8,030,896"
02/07/2024,"23.25","23.77","22.78","22.81","9,146,256"
02/06/2024,"22.12","23.16","22.01","23.11","10,286,270"
02/05/2024,"22.46","22.52","21.80","22.16","12,111,060"
02/02/2024,"23.04","23.07","22.47","22.64","11,317,630"
02/01/2024,"22.71","23.35","22.29","23.25","14,326,550"
01/31/2024,"22.84","23.32","22.47","22.57","60,298,070"
01/30/2024,"22.58","23.00","22.42","22.76","11,689,080"
01/29/2024,"22.85","22.86","22.33","22.72","12,197,390"
01/26/2024,"23.17","23.43","22.78","22.85","10,150,180"
01/25/2024,"22.52","23.12","22.07","23.11","14,707,670"
01/24/2024,"22.88","22.94","22.29","22.37","9,246,364"
01/23/2024,"22.74","22.99","22.24","22.58","10,346,830"
01/22/2024,"22.01","22.62","21.76","22.56","10,663,610"
01/19/2024,"22.06","22.17","21.58","22.00","13,817,110"
01/18/2024,"22.09","22.20","21.72","22.15","12,751,550"
01/17/2024,"22.63","22.79","22.03","22.17","13,067,860"
01/16/2024,"23.17","23.22","22.68","22.87","13,652,580"
01/12/2024,"23.97","24.20","23.18","23.27","17,446,910"
01/11/2024,"24.50","24.93","23.98","24.03","15,428,080"
01/10/2024,"25.31","25.33","24.44","24.68","15,365,220"
01/09/2024,"25.50","25.63","24.83","25.36","17,941,740"
01/08/2024,"24.77","25.87","24.50","25.63","24,038,240"
01/05/2024,"24.16","25.01","23.52","25.01","25,916,699"
01/04/2024,"24.19","24.30","22.58","24.26","60,606,680"
01/03/2024,"26.38","26.41","25.47","25.57","21,928,221"
01/02/2024,"26.07","27.05","25.91","26.65","12,587,840"
12/29/2023,"26.44","26.63","25.75","26.11","10,859,220"
12/28/2023,"26.59","27.02","26.39","26.60","7,899,906"
12/27/2023,"26.72","26.76","26.46","26.64","8,265,490"
12/26/2023,"26.28","26.73","26.20","26.61","10,181,060"
12/22/2023,"26.04","26.57","25.80","26.22","9,777,115"
12/21/2023,"25.57","26.18","25.44","26.06","10,668,460"
12/20/2023,"26.01","26.23","25.39","25.40","10,335,660"
12/19/2023,"25.00","26.08","24.97","26.03","12,503,510"
12/18/2023,"25.26","25.31","24.74","24.98","11,156,160"
12/15/2023,"25.41","25.67","24.93","25.20","22,317,180"
12/14/2023,"25.00","25.87","24.94","25.14","23,083,551"
12/13/2023,"22.88","24.66","22.62","24.63","19,152,320"
12/12/2023,"23.00","23.67","22.60","22.93","18,757,029"
12/11/2023,"23.43","23.67","22.50","23.00","18,268,010"
12/08/2023,"22.95","23.42","22.72","23.16","17,563,850"
12/07/2023,"21.50","23.26","21.32","22.91","27,065,920"
12/06/2023,"20.58","21.66","20.40","21.38","14,124,840"
12/05/2023,"20.73","20.83","20.40","20.51","8,932,154"
12/04/2023,"20.72","21.08","20.52","20.79","9,655,427"
12/01/2023,"19.95","20.82","19.75","20.79","12,358,070"
11/30/2023,"19.99","20.11","19.68","19.94","12,940,850"
11/29/2023,"20.03","20.47","19.92","19.98","11,255,180"
11/28/2023,"20.10","20.16","19.75","19.98","12,559,370"
11/27/2023,"20.85","20.90","20.07","20.11","12,146,210"
11/24/2023,"20.78","20.98","20.58","20.85","4,317,299"
11/22/2023,"21.08","21.09","20.60","20.69","7,682,276"
11/21/2023,"20.95","21.12","20.53","20.98","7,697,296"
