Date,Open,High,Low,Close,Volume
02/16/2024,"56.04","56.30","53.92","54.00","6,034,668"
02/15/2024,"56.18","56.57","55.84","56.01","4,385,885"
02/14/2024,"55.93","56.56","55.88","56.08","3,964,221"
02/13/2024,"55.92","55.94","54.79","55.34","6,572,103"
02/12/2024,"56.57","58.07","56.51","57.32","4,459,851"
02/09/2024,"56.50","57.35","56.23","56.82","6,518,323"
02/08/2024,"57.57","57.98","57.02","57.12","7,468,421"
02/07/2024,"58.47","58.72","57.66","57.94","4,946,939"
02/06/2024,"59.05","59.24","58.26","58.45","5,187,183"
02/05/2024,"58.07","58.52","57.28","58.47","4,838,170"
02/02/2024,"57.25","58.25","57.00","58.16","5,529,566"
02/01/2024,"57.24","57.68","56.59","57.40","7,272,778"
01/31/2024,"57.69","58.18","57.21","57.25","5,797,970"
01/30/2024,"59.59","59.75","57.81","58.12","9,717,071"
01/29/2024,"59.40","60.45","59.04","59.75","9,380,323"
01/26/2024,"58.86","59.40","57.21","58.23","19,645,789"
01/25/2024,"59.00","60.55","58.94","60.33","23,848,750"
01/24/2024,"59.00","59.06","57.71","58.03","9,723,772"
01/23/2024,"58.33","59.15","57.20","57.73","10,920,940"
01/22/2024,"57.83","58.73","56.50","57.00","16,473,381"
01/19/2024,"54.00","54.79","53.65","54.77","4,797,404"
01/18/2024,"52.98","53.61","52.76","53.55","5,645,046"
01/17/2024,"52.17","52.77","51.75","52.32","5,405,352"
01/16/2024,"51.61","52.52","50.89","52.23","8,062,764"
01/12/2024,"50.89","51.18","50.00","50.01","2,819,332"
01/11/2024,"50.47","51.11","49.68","50.60","3,102,913"
01/10/2024,"49.38","50.67","48.96","50.51","4,301,951"
01/09/2024,"49.52","50.02","49.34","49.43","4,799,019"
01/08/2024,"50.14","50.66","50.05","50.19","3,390,151"
01/05/2024,"49.69","50.35","49.67","50.05","4,766,043"
01/04/2024,"50.30","50.79","49.94","50.02","4,641,022"
01/03/2024,"50.09","50.91","50.00","50.34","5,918,025"
01/02/2024,"51.76","51.95","50.68","50.86","7,190,574"
12/29/2023,"52.82","53.01","52.14","52.37","3,478,073"
12/28/2023,"52.50","52.95","52.35","52.93","4,200,007"
12/27/2023,"52.87","53.18","52.28","52.42","2,167,187"
12/26/2023,"52.74","53.21","52.68","52.76","2,010,869"
12/22/2023,"52.50","52.88","52.23","52.66","2,936,503"
12/21/2023,"51.25","52.42","50.85","52.38","7,347,048"
12/20/2023,"50.84","50.87","49.36","49.41","5,201,827"
12/19/2023,"50.52","51.10","50.29","50.94","3,798,863"
12/18/2023,"50.57","50.90","50.28","50.52","3,150,408"
12/15/2023,"51.00","51.32","50.26","50.68","7,288,076"
12/14/2023,"50.99","52.23","50.90","51.15","8,115,047"
12/13/2023,"49.56","50.68","49.56","50.43","6,881,893"
12/12/2023,"49.27","50.14","49.14","49.62","4,887,133"
12/11/2023,"48.43","49.68","48.39","49.24","6,057,839"
12/08/2023,"47.13","48.11","47.03","47.86","8,455,556"
12/07/2023,"47.38","47.73","46.75","47.31","3,807,279"
12/06/2023,"47.79","48.65","46.77","46.82","3,429,101"
12/05/2023,"47.20","47.50","46.47","46.77","3,087,666"
12/04/2023,"47.68","48.03","46.90","47.47","3,843,959"
12/01/2023,"47.85","48.86","47.62","48.39","11,465,090"
11/30/2023,"47.57","48.43","46.96","48.31","16,745,641"
11/29/2023,"47.62","48.23","47.13","47.32","4,765,897"
11/28/2023,"46.93","47.13","46.42","46.89","4,208,817"
11/27/2023,"46.41","47.53","46.29","47.21","4,263,734"
11/24/2023,"46.56","46.79","46.05","46.60","2,262,093"
11/22/2023,"46.41","47.24","46.41","46.91","3,444,142"
11/21/2023,"46.61","47.04","46.11","46.24","4,360,645"
