Date,Open,High,Low,Close,Volume
02/20/2024,"51.50","52.24","51.27","51.77","19,839,119"
02/16/2024,"51.94","52.32","51.32","51.91","24,359,730"
02/15/2024,"48.73","52.45","48.62","52.04","46,473,551"
02/14/2024,"48.60","48.72","47.96","48.53","12,683,360"
02/13/2024,"48.40","48.71","47.59","48.24","13,660,050"
02/12/2024,"48.00","49.29","47.88","48.92","14,101,940"
02/09/2024,"48.22","48.27","47.47","48.06","16,593,980"
02/08/2024,"48.18","48.50","48.06","48.35","10,839,240"
02/07/2024,"48.45","48.60","47.45","48.48","15,839,620"
02/06/2024,"48.52","49.12","48.01","48.29","13,928,470"
02/05/2024,"48.61","48.92","48.24","48.70","14,202,720"
02/02/2024,"48.50","49.57","48.06","49.16","19,329,199"
02/01/2024,"49.82","49.97","47.88","48.73","27,566,100"
01/31/2024,"51.01","51.44","50.16","50.18","20,394,381"
01/30/2024,"50.63","51.27","50.62","51.19","14,736,830"
01/29/2024,"50.16","50.67","49.99","50.35","16,725,250"
01/26/2024,"49.84","50.50","49.77","50.32","19,211,131"
01/25/2024,"49.68","49.94","49.50","49.88","17,979,561"
01/24/2024,"49.37","50.09","49.25","49.49","17,776,029"
01/23/2024,"48.65","49.22","48.40","49.12","16,422,119"
01/22/2024,"48.23","48.93","48.16","48.53","19,372,221"
01/19/2024,"46.63","48.18","46.38","48.12","25,606,891"
01/18/2024,"46.55","46.62","46.12","46.44","17,901,250"
01/17/2024,"46.24","47.06","46.21","46.67","17,445,619"
01/16/2024,"46.77","47.06","46.22","46.82","25,209,850"
01/12/2024,"47.95","48.78","47.00","47.40","30,454,100"
01/11/2024,"48.89","49.08","48.34","49.04","21,049,150"
01/10/2024,"49.00","49.12","48.61","49.08","11,849,830"
01/09/2024,"49.44","49.46","49.05","49.29","13,625,240"
01/08/2024,"49.38","49.99","49.15","49.92","15,119,720"
01/05/2024,"49.40","50.47","49.29","49.92","15,074,810"
01/04/2024,"48.82","49.86","48.77","49.28","15,917,480"
01/03/2024,"49.09","49.09","48.32","48.68","21,653,561"
01/02/2024,"49.05","49.76","48.82","49.33","14,915,980"
12/29/2023,"49.35","49.58","49.21","49.22","11,733,580"
12/28/2023,"49.14","49.65","49.09","49.48","9,872,634"
12/27/2023,"49.41","49.57","49.15","49.33","12,536,730"
12/26/2023,"49.16","49.67","49.03","49.64","8,856,695"
12/22/2023,"49.66","49.86","49.09","49.18","10,450,410"
12/21/2023,"49.62","49.83","49.13","49.45","11,127,690"
12/20/2023,"49.83","50.57","49.29","49.34","20,481,529"
12/19/2023,"49.67","50.32","49.31","50.09","20,556,400"
12/18/2023,"50.41","50.48","49.53","49.66","20,531,711"
12/15/2023,"50.10","50.77","49.92","50.31","44,099,219"
12/14/2023,"48.44","50.55","48.44","50.51","41,115,352"
12/13/2023,"46.50","47.78","46.35","47.76","26,549,109"
12/12/2023,"45.94","46.76","45.81","46.47","19,787,051"
12/11/2023,"45.90","46.22","45.57","46.00","21,116,910"
12/08/2023,"45.36","46.34","45.12","46.10","20,238,410"
12/07/2023,"44.79","45.44","44.65","45.40","18,787,830"
12/06/2023,"44.80","45.25","44.43","44.50","18,923,830"
12/05/2023,"44.95","44.97","44.41","44.49","14,531,730"
12/04/2023,"44.71","45.33","44.52","45.12","13,424,150"
12/01/2023,"44.51","45.24","44.38","45.02","18,116,070"
11/30/2023,"43.81","44.75","43.48","44.59","23,247,539"
11/29/2023,"43.69","44.14","43.63","43.78","16,745,990"
11/28/2023,"42.97","43.45","42.79","43.37","15,332,880"
11/27/2023,"42.64","43.03","42.52","43.02","15,714,990"
11/24/2023,"42.80","43.11","42.73","42.92","5,287,200"
11/22/2023,"42.66","42.83","42.40","42.78","11,862,200"
