Date,Open,High,Low,Close,Volume
02/16/2024,"199.99","202.69","199.00","201.54","2,588,036"
02/15/2024,"198.51","199.47","197.01","199.11","2,449,003"
02/14/2024,"199.07","199.92","195.97","199.16","3,308,730"
02/13/2024,"196.70","199.49","194.20","199.49","3,263,017"
02/12/2024,"188.07","189.09","187.48","188.26","2,022,501"
02/09/2024,"189.50","189.78","187.56","188.86","1,678,092"
02/08/2024,"190.18","190.44","188.52","189.49","1,154,438"
02/07/2024,"189.84","190.36","189.06","189.98","1,691,896"
02/06/2024,"188.50","189.66","187.70","189.21","2,009,518"
02/05/2024,"187.94","188.87","187.20","188.20","1,524,708"
02/02/2024,"188.42","188.93","186.91","188.21","1,696,582"
02/01/2024,"185.52","188.44","184.85","188.42","1,434,797"
01/31/2024,"187.71","188.00","184.72","185.63","3,423,623"
01/30/2024,"185.85","187.22","185.17","187.11","1,309,619"
01/29/2024,"185.61","186.34","185.20","185.35","1,400,012"
01/26/2024,"185.45","186.12","185.20","185.81","1,231,166"
01/25/2024,"183.69","185.21","183.00","185.10","1,427,385"
01/24/2024,"185.98","186.40","183.68","183.80","1,436,789"
01/23/2024,"184.89","185.75","184.10","185.54","1,355,870"
01/22/2024,"184.49","185.12","182.93","184.91","1,651,639"
01/19/2024,"184.06","184.93","183.17","184.45","1,571,596"
01/18/2024,"182.00","183.64","181.56","183.51","1,732,162"
01/17/2024,"180.62","184.13","180.25","181.47","1,751,493"
01/16/2024,"181.00","181.56","180.17","180.77","1,456,101"
01/12/2024,"180.00","181.58","179.00","181.40","1,035,722"
01/11/2024,"179.52","179.69","177.83","179.22","1,176,509"
01/10/2024,"177.89","179.25","177.66","179.18","1,196,289"
01/09/2024,"178.03","178.87","177.38","178.23","1,325,147"
01/08/2024,"178.16","178.35","176.68","178.24","1,536,444"
01/05/2024,"178.92","179.14","177.23","177.77","1,415,660"
01/04/2024,"179.25","180.66","178.77","178.79","1,376,369"
01/03/2024,"180.00","181.48","178.17","178.53","1,826,283"
01/02/2024,"177.72","180.71","177.67","179.61","1,299,038"
12/29/2023,"178.29","179.80","178.00","179.10","1,256,428"
12/28/2023,"178.38","178.57","177.78","178.14","774,333"
12/27/2023,"177.11","178.15","176.83","177.75","772,384"
12/26/2023,"176.32","177.81","175.75","177.52","631,257"
12/22/2023,"177.44","177.74","176.69","176.95","1,291,147"
12/21/2023,"175.71","177.36","175.62","176.81","1,061,388"
12/20/2023,"176.77","177.63","175.63","175.76","1,049,722"
12/19/2023,"177.94","178.05","176.28","176.78","1,322,234"
12/18/2023,"175.47","178.06","175.01","177.63","1,807,797"
12/15/2023,"173.10","175.51","173.01","174.55","3,676,742"
12/14/2023,"179.13","179.50","175.33","176.67","2,357,497"
12/13/2023,"176.61","179.08","176.24","179.06","2,047,016"
12/12/2023,"174.82","176.78","173.51","176.59","1,756,214"
12/11/2023,"172.66","174.01","172.31","173.38","1,118,415"
12/08/2023,"172.38","173.24","171.15","172.50","1,638,504"
12/07/2023,"173.71","173.72","171.47","172.84","1,369,246"
12/06/2023,"172.60","174.00","172.22","173.95","1,444,055"
12/05/2023,"174.46","174.80","172.82","173.07","1,469,350"
12/04/2023,"172.86","174.47","172.76","174.39","1,701,887"
12/01/2023,"171.24","173.93","170.79","173.80","1,654,183"
11/30/2023,"169.52","171.19","168.73","170.99","2,514,339"
11/29/2023,"169.66","170.00","168.85","169.74","1,305,838"
11/28/2023,"171.35","171.40","169.48","169.68","1,783,468"
11/27/2023,"171.32","171.75","170.42","171.48","1,344,452"
11/24/2023,"172.82","172.82","171.12","172.01","550,614"
11/22/2023,"171.69","172.11","171.04","171.77","1,124,887"
11/21/2023,"171.00","171.73","170.05","171.69","1,050,551"
