Date,Open,High,Low,Close,Volume
02/20/2024,"34.45","34.48","33.85","34.11","7,615,211"
02/16/2024,"34.24","34.51","33.93","34.31","7,773,348"
02/15/2024,"33.03","34.28","33.03","34.19","10,586,720"
02/14/2024,"34.15","34.15","32.65","33.05","15,469,850"
02/13/2024,"34.56","34.69","33.76","34.04","9,527,803"
02/12/2024,"34.03","34.59","34.01","34.55","6,092,783"
02/09/2024,"34.02","34.27","33.85","34.03","6,003,647"
02/08/2024,"34.17","34.28","33.89","34.04","7,093,478"
02/07/2024,"34.37","34.46","34.10","34.29","7,186,633"
02/06/2024,"34.52","34.58","34.20","34.30","4,966,758"
02/05/2024,"34.56","34.70","34.19","34.43","5,766,673"
02/02/2024,"34.73","34.95","34.25","34.80","5,021,676"
02/01/2024,"34.76","35.21","34.62","34.87","4,693,087"
01/31/2024,"35.32","35.39","34.64","34.66","5,998,490"
01/30/2024,"34.66","35.21","34.66","35.20","4,792,421"
01/29/2024,"34.82","34.89","34.40","34.81","6,037,699"
01/26/2024,"34.45","34.91","34.39","34.87","6,289,602"
01/25/2024,"34.27","34.44","33.98","34.44","6,070,413"
01/24/2024,"34.11","34.27","33.97","34.03","5,475,976"
01/23/2024,"33.91","34.11","33.72","33.95","4,441,920"
01/22/2024,"33.86","34.07","33.66","33.97","6,714,503"
01/19/2024,"34.06","34.06","33.48","33.86","7,492,127"
01/18/2024,"33.94","34.09","33.61","33.85","7,417,389"
01/17/2024,"34.23","34.61","33.95","33.99","7,429,733"
01/16/2024,"34.82","34.94","34.50","34.57","7,966,620"
01/12/2024,"35.25","35.46","34.76","34.92","6,629,137"
01/11/2024,"35.25","35.30","34.38","34.78","7,040,831"
01/10/2024,"35.40","35.51","35.14","35.23","6,185,545"
01/09/2024,"35.54","35.67","35.08","35.42","10,481,720"
01/08/2024,"35.20","35.68","34.72","35.65","6,595,985"
01/05/2024,"35.89","35.96","35.27","35.55","6,265,702"
01/04/2024,"36.60","36.69","35.73","35.82","5,408,918"
01/03/2024,"35.52","36.54","35.39","36.31","8,678,457"
01/02/2024,"34.95","35.52","34.94","35.52","6,379,166"
12/29/2023,"35.03","35.03","34.74","34.83","3,686,636"
12/28/2023,"35.00","35.21","34.82","34.93","4,064,111"
12/27/2023,"35.03","35.28","34.90","35.03","4,289,193"
12/26/2023,"35.23","35.38","35.08","35.12","3,461,880"
12/22/2023,"35.17","35.38","35.06","35.14","5,505,967"
12/21/2023,"34.81","34.99","34.56","34.97","5,959,208"
12/20/2023,"34.97","35.30","34.61","34.67","5,585,214"
12/19/2023,"34.75","35.15","34.59","35.07","5,047,662"
12/18/2023,"35.03","35.33","34.66","34.70","6,104,807"
12/15/2023,"34.50","34.67","34.09","34.62","19,467,070"
12/14/2023,"35.00","35.15","34.62","34.66","10,269,400"
12/13/2023,"34.44","34.68","34.01","34.66","7,446,753"
12/12/2023,"34.71","34.78","34.25","34.41","8,969,872"
12/11/2023,"35.42","35.46","34.67","34.89","8,260,379"
12/08/2023,"35.11","35.65","35.06","35.52","5,501,603"
12/07/2023,"35.55","35.66","34.63","34.93","9,664,772"
12/06/2023,"36.07","36.43","35.75","35.84","7,445,827"
12/05/2023,"36.96","37.00","36.18","36.26","6,247,588"
12/04/2023,"37.00","37.32","36.90","36.99","5,203,867"
12/01/2023,"36.74","37.45","36.68","37.28","6,282,328"
11/30/2023,"36.56","37.07","36.45","36.79","13,200,850"
11/29/2023,"36.43","36.64","36.28","36.44","5,032,310"
11/28/2023,"36.51","36.69","36.33","36.33","5,705,072"
11/27/2023,"36.24","36.40","36.13","36.39","4,607,549"
11/24/2023,"36.24","36.49","36.03","36.32","2,022,474"
11/22/2023,"35.59","36.25","35.46","36.23","4,168,341"
