Date,Open,High,Low,Close,Volume
02/20/2024,"178.48","181.35","175.23","175.86","23,929,539"
02/16/2024,"170.29","171.93","169.29","170.36","7,457,847"
02/15/2024,"169.80","169.85","167.97","169.29","5,649,619"
02/14/2024,"168.75","168.88","167.54","168.60","6,161,534"
02/13/2024,"170.62","171.07","168.27","169.14","6,191,405"
02/12/2024,"169.23","170.36","169.05","170.30","4,931,680"
02/09/2024,"169.39","169.73","168.92","169.28","4,776,622"
02/08/2024,"169.38","170.55","169.14","169.37","4,809,309"
02/07/2024,"170.27","170.66","169.20","169.38","5,694,155"
02/06/2024,"168.79","169.95","168.34","169.81","4,729,928"
02/05/2024,"170.01","170.01","168.07","168.66","6,381,690"
02/02/2024,"168.15","170.58","167.92","169.57","7,223,562"
02/01/2024,"165.70","168.35","165.18","168.31","6,930,851"
01/31/2024,"167.80","167.80","165.11","165.25","8,711,625"
01/30/2024,"164.70","165.81","163.62","165.59","5,090,004"
01/29/2024,"164.35","165.41","163.52","165.04","6,080,104"
01/26/2024,"163.05","164.38","162.66","164.27","5,248,770"
01/25/2024,"161.40","162.87","160.42","162.84","5,456,534"
01/24/2024,"162.90","163.07","160.32","160.50","7,644,287"
01/23/2024,"162.12","162.85","161.77","162.80","4,022,172"
01/22/2024,"162.79","162.95","161.50","162.39","4,646,127"
01/19/2024,"163.43","163.57","161.44","162.38","6,391,765"
01/18/2024,"161.16","163.39","160.68","163.24","6,063,537"
01/17/2024,"161.38","161.99","160.63","161.07","4,942,554"
01/16/2024,"161.44","162.40","161.23","161.83","5,677,530"
01/12/2024,"161.37","161.55","160.38","161.32","4,542,989"
01/11/2024,"161.35","161.89","160.17","161.11","4,785,069"
01/10/2024,"159.56","161.50","159.56","161.29","6,707,346"
01/09/2024,"157.93","159.34","157.73","159.31","7,774,126"
01/08/2024,"156.70","158.30","156.68","158.25","6,893,626"
01/05/2024,"157.92","158.10","155.60","156.71","7,236,501"
01/04/2024,"159.21","159.54","157.49","157.76","6,427,490"
01/03/2024,"159.77","160.30","158.93","159.30","6,252,020"
01/02/2024,"157.25","159.54","157.19","159.29","7,846,559"
12/29/2023,"157.53","158.08","157.16","157.65","7,316,066"
12/28/2023,"157.77","158.33","157.50","157.57","5,592,022"
12/27/2023,"156.31","157.95","156.16","157.88","6,631,988"
12/26/2023,"156.65","156.99","156.11","156.41","3,893,321"
12/22/2023,"155.45","157.15","155.16","156.65","6,468,547"
12/21/2023,"154.00","155.06","153.91","154.80","6,695,928"
12/20/2023,"155.42","156.14","153.62","153.71","7,322,567"
12/19/2023,"154.84","155.69","154.09","155.53","8,139,031"
12/18/2023,"153.35","155.07","153.13","154.97","8,772,004"
12/15/2023,"151.78","153.46","151.54","152.74","23,334,529"
12/14/2023,"153.52","153.94","151.93","152.17","10,297,090"
12/13/2023,"151.55","154.05","150.64","154.05","11,782,890"
12/12/2023,"151.22","151.70","150.23","151.36","7,127,340"
12/11/2023,"151.14","151.45","149.54","151.24","10,627,750"
12/08/2023,"152.00","152.21","150.24","150.86","11,356,490"
12/07/2023,"154.35","154.54","152.23","152.46","8,454,193"
12/06/2023,"155.55","155.83","153.65","154.04","8,815,799"
12/05/2023,"154.45","155.85","153.74","155.73","7,294,610"
12/04/2023,"153.32","154.93","153.31","154.30","8,294,396"
12/01/2023,"155.38","155.61","152.63","154.34","13,091,220"
11/30/2023,"156.02","156.35","154.51","155.69","9,975,262"
11/29/2023,"158.77","158.77","155.61","156.08","9,965,495"
11/28/2023,"156.66","158.92","156.66","158.64","7,845,009"
11/27/2023,"155.95","157.36","155.95","156.77","7,797,882"
11/24/2023,"155.15","156.13","154.70","156.06","4,658,390"
11/22/2023,"155.72","156.05","154.38","154.67","8,811,174"
