Date,Open,High,Low,Close,Volume
02/16/2024,"82.48","83.19","82.15","82.61","874,873"
02/15/2024,"81.97","82.92","81.88","82.27","993,909"
02/14/2024,"81.13","82.36","81.13","81.92","1,053,581"
02/13/2024,"81.55","81.66","80.25","80.94","1,193,956"
02/12/2024,"80.68","81.38","80.36","80.71","671,011"
02/09/2024,"79.43","80.52","79.30","80.48","914,750"
02/08/2024,"80.09","80.32","79.44","79.88","1,138,047"
02/07/2024,"80.80","80.85","80.18","80.34","937,378"
02/06/2024,"80.94","81.32","80.37","80.49","814,092"
02/05/2024,"80.99","81.71","80.56","81.38","700,482"
02/02/2024,"80.74","81.47","80.41","80.87","1,118,838"
02/01/2024,"81.20","81.30","79.79","80.28","1,595,248"
01/31/2024,"81.89","82.46","81.65","81.88","2,037,783"
01/30/2024,"81.42","82.13","81.26","81.63","926,651"
01/29/2024,"80.93","81.21","80.32","81.19","1,508,824"
01/26/2024,"83.13","83.36","81.37","81.47","1,776,586"
01/25/2024,"83.44","85.01","81.10","83.27","2,956,401"
01/24/2024,"77.93","78.27","77.49","77.69","1,902,773"
01/23/2024,"77.07","77.69","76.52","76.78","1,344,727"
01/22/2024,"75.26","77.21","75.15","77.08","1,804,045"
01/19/2024,"75.00","75.53","74.59","75.32","1,484,711"
01/18/2024,"73.37","74.44","73.03","74.38","605,817"
01/17/2024,"73.37","74.55","73.36","73.73","836,861"
01/16/2024,"73.12","73.51","72.72","73.30","951,301"
01/12/2024,"73.21","73.41","72.68","72.81","1,070,492"
01/11/2024,"72.02","72.99","71.94","72.88","846,487"
01/10/2024,"72.06","72.47","71.89","72.00","998,008"
01/09/2024,"72.51","72.64","71.38","72.23","1,206,999"
01/08/2024,"74.00","74.17","71.98","72.61","1,213,810"
01/05/2024,"73.68","74.50","73.27","74.36","1,229,683"
01/04/2024,"73.03","73.80","73.03","73.17","1,232,888"
01/03/2024,"72.29","73.33","72.29","72.56","1,101,063"
01/02/2024,"70.77","72.16","70.77","72.15","1,052,213"
12/29/2023,"70.54","70.86","70.11","70.72","786,046"
12/28/2023,"70.11","70.62","70.11","70.42","637,209"
12/27/2023,"69.85","70.25","69.72","70.05","679,132"
12/26/2023,"70.02","70.33","69.88","70.10","440,689"
12/22/2023,"69.99","70.39","69.88","70.21","957,056"
12/21/2023,"69.04","69.79","68.62","69.76","1,569,314"
12/20/2023,"69.93","70.26","69.29","69.31","1,795,216"
12/19/2023,"70.20","70.81","70.05","70.15","1,254,805"
12/18/2023,"70.62","71.15","69.92","70.72","1,303,838"
12/15/2023,"70.01","70.51","69.48","70.22","3,562,604"
12/14/2023,"72.90","72.90","70.10","71.17","2,134,631"
12/13/2023,"73.09","73.40","72.58","72.79","1,521,403"
12/12/2023,"72.89","73.77","72.67","73.29","1,049,151"
12/11/2023,"71.92","72.66","71.62","72.66","1,175,427"
12/08/2023,"70.90","71.43","70.62","71.33","875,796"
12/07/2023,"72.26","72.36","70.76","70.90","1,267,327"
12/06/2023,"73.17","73.79","71.88","72.07","1,274,541"
12/05/2023,"73.51","73.71","73.06","73.21","891,233"
12/04/2023,"73.09","74.16","73.06","73.65","1,536,817"
12/01/2023,"72.29","73.57","72.29","73.26","1,717,966"
11/30/2023,"70.62","72.75","70.62","72.55","6,059,404"
11/29/2023,"70.97","71.03","70.30","70.57","885,361"
11/28/2023,"71.78","72.10","71.14","71.15","892,054"
11/27/2023,"71.72","72.00","71.40","71.80","932,577"
11/24/2023,"70.89","72.21","70.89","71.83","476,807"
11/22/2023,"70.94","71.70","70.91","71.07","948,265"
11/21/2023,"69.95","71.33","69.95","71.14","1,216,901"
