Date,Open,High,Low,Close,Volume
02/22/2024,"43.96","44.14","43.84","43.94","1,312,389"
02/21/2024,"43.84","44.13","43.52","43.75","1,378,418"
02/20/2024,"43.73","44.26","43.59","43.78","1,682,691"
02/16/2024,"43.48","43.86","43.36","43.71","1,652,119"
02/15/2024,"42.82","43.35","42.76","43.31","1,536,383"
02/14/2024,"42.44","42.72","42.00","42.62","1,588,931"
02/13/2024,"42.47","42.60","41.83","42.29","2,845,172"
02/12/2024,"42.72","43.00","42.61","42.66","1,756,913"
02/09/2024,"42.58","42.78","42.23","42.50","1,707,080"
02/08/2024,"41.63","43.01","41.41","42.82","4,201,915"
02/07/2024,"40.25","40.31","39.78","39.92","3,060,342"
02/06/2024,"38.70","39.07","38.30","38.37","2,255,964"
02/05/2024,"38.67","38.95","38.51","38.66","1,939,043"
02/02/2024,"39.25","39.42","38.75","38.83","2,994,048"
02/01/2024,"40.00","40.14","39.11","39.23","2,678,681"
01/31/2024,"40.91","41.09","39.93","40.26","2,485,877"
01/30/2024,"41.74","41.87","41.32","41.39","2,022,088"
01/29/2024,"41.77","41.94","41.49","41.81","2,519,663"
01/26/2024,"43.12","43.25","42.25","42.39","1,777,276"
01/25/2024,"42.15","42.64","41.95","42.43","2,965,858"
01/24/2024,"40.86","41.04","40.64","40.80","1,675,391"
01/23/2024,"40.35","40.54","40.23","40.43","1,900,357"
01/22/2024,"40.02","40.05","39.73","39.96","2,114,827"
01/19/2024,"40.48","40.48","39.94","39.99","1,983,849"
01/18/2024,"40.41","40.71","40.21","40.49","3,214,659"
01/17/2024,"40.95","41.04","40.48","40.49","1,814,123"
01/16/2024,"41.29","41.49","40.96","41.24","1,644,364"
01/12/2024,"41.79","41.99","41.49","41.69","1,581,994"
01/11/2024,"41.66","41.86","41.28","41.54","1,590,494"
01/10/2024,"42.05","42.19","41.70","41.86","1,124,869"
01/09/2024,"42.26","42.35","41.94","42.18","1,049,107"
01/08/2024,"42.01","42.71","41.98","42.61","1,749,045"
01/05/2024,"41.40","42.27","41.22","41.91","3,132,583"
01/04/2024,"41.72","42.23","41.72","42.16","2,404,238"
01/03/2024,"41.35","41.99","41.34","41.61","2,131,136"
01/02/2024,"41.52","41.82","41.27","41.78","3,552,357"
12/29/2023,"41.90","42.13","41.32","41.52","1,868,852"
12/28/2023,"42.50","42.63","41.99","42.12","1,250,572"
12/27/2023,"42.12","42.76","42.10","42.75","2,287,420"
12/26/2023,"41.63","42.21","41.63","42.13","1,087,994"
12/22/2023,"41.89","42.17","41.59","41.75","2,278,306"
12/21/2023,"43.12","43.48","41.74","41.91","4,772,675"
12/20/2023,"43.12","43.50","42.87","42.92","2,964,062"
12/19/2023,"43.24","43.58","42.97","43.28","2,903,014"
12/18/2023,"43.11","43.21","42.69","42.81","2,581,105"
12/15/2023,"43.08","43.30","42.17","42.54","5,480,641"
12/14/2023,"43.05","43.47","42.79","43.15","2,933,055"
12/13/2023,"40.67","42.08","40.57","41.75","2,705,721"
12/12/2023,"41.05","41.23","40.58","40.72","2,577,872"
12/11/2023,"41.35","41.68","41.09","41.34","2,602,984"
12/08/2023,"40.98","41.38","40.98","41.16","2,190,000"
12/07/2023,"41.23","41.47","40.47","40.97","3,130,108"
12/06/2023,"40.81","41.07","40.56","40.75","3,412,533"
12/05/2023,"41.02","41.12","40.45","40.45","2,656,650"
12/04/2023,"41.50","41.74","41.29","41.55","3,637,609"
12/01/2023,"41.24","42.46","41.17","41.73","2,898,237"
11/30/2023,"40.93","41.61","40.79","41.17","5,422,347"
11/29/2023,"39.08","40.18","38.89","40.10","2,927,565"
11/28/2023,"38.70","38.81","38.26","38.41","5,333,804"
11/27/2023,"37.62","38.39","37.38","37.91","4,814,116"
11/24/2023,"37.68","38.06","37.49","37.69","2,938,224"
