Date,Open,High,Low,Close,Volume
02/21/2024,"276.84","276.84","273.76","275.00","374,034"
02/20/2024,"275.97","277.36","272.35","275.64","451,334"
02/16/2024,"277.99","278.70","276.30","277.31","429,524"
02/15/2024,"276.15","277.88","275.73","277.44","503,290"
02/14/2024,"271.89","275.59","271.13","275.16","493,842"
02/13/2024,"272.59","273.30","268.55","270.86","460,389"
02/12/2024,"274.80","275.00","269.95","272.20","366,483"
02/09/2024,"270.29","272.99","269.98","271.86","568,254"
02/08/2024,"270.41","271.98","267.92","270.11","478,719"
02/07/2024,"270.14","272.09","267.32","271.79","730,615"
02/06/2024,"256.59","269.42","256.59","268.45","1,032,483"
02/05/2024,"248.92","252.46","248.61","250.46","564,338"
02/02/2024,"248.20","251.11","247.61","250.45","465,778"
02/01/2024,"244.49","247.94","242.54","247.28","380,082"
01/31/2024,"248.41","249.44","245.38","246.30","391,011"
01/30/2024,"245.36","248.16","245.36","247.78","367,897"
01/29/2024,"247.94","249.11","245.88","246.44","340,843"
01/26/2024,"251.19","251.19","248.76","249.48","372,802"
01/25/2024,"251.54","251.54","248.43","250.72","316,689"
01/24/2024,"252.23","252.41","249.65","250.99","281,514"
01/23/2024,"250.00","251.57","249.45","250.99","246,520"
01/22/2024,"250.58","251.60","248.64","249.10","443,703"
01/19/2024,"248.71","251.19","247.91","250.76","597,719"
01/18/2024,"246.34","248.00","244.62","247.77","263,622"
01/17/2024,"245.75","248.63","243.26","247.07","414,004"
01/16/2024,"248.11","248.13","245.16","245.79","432,059"
01/12/2024,"248.09","248.97","246.95","248.40","354,219"
01/11/2024,"246.83","247.48","244.53","247.07","421,797"
01/10/2024,"240.60","245.56","240.51","245.44","679,124"
01/09/2024,"240.97","241.80","238.37","239.87","241,864"
01/08/2024,"240.44","242.22","239.02","242.17","308,315"
01/05/2024,"239.63","241.07","237.50","238.87","414,683"
01/04/2024,"241.72","242.63","239.24","239.49","273,421"
01/03/2024,"240.09","243.55","240.09","240.63","446,219"
01/02/2024,"240.72","242.63","239.39","239.95","394,604"
12/29/2023,"238.91","241.79","238.91","241.20","336,859"
12/28/2023,"238.77","240.00","238.41","239.32","265,238"
12/27/2023,"238.53","240.01","237.08","239.30","323,346"
12/26/2023,"240.35","242.13","238.72","239.09","296,944"
12/22/2023,"238.71","240.80","238.71","240.09","328,642"
12/21/2023,"235.68","238.38","234.88","238.35","403,612"
12/20/2023,"237.76","239.70","235.10","235.52","513,869"
12/19/2023,"238.93","240.28","237.45","238.47","501,755"
12/18/2023,"238.32","239.65","236.90","238.72","580,110"
12/15/2023,"237.45","238.58","234.01","236.73","1,399,872"
12/14/2023,"249.53","249.53","237.04","237.93","912,077"
12/13/2023,"246.17","249.29","245.77","247.60","585,069"
12/12/2023,"245.15","246.64","244.30","246.49","374,727"
12/11/2023,"243.62","245.66","240.96","244.79","470,084"
12/08/2023,"243.40","243.97","241.54","242.66","271,159"
12/07/2023,"241.82","242.92","240.34","242.72","301,429"
12/06/2023,"244.15","244.39","240.00","241.50","385,795"
12/05/2023,"243.28","243.94","241.45","242.97","394,637"
12/04/2023,"245.38","246.50","242.84","244.00","475,044"
12/01/2023,"245.99","247.49","244.43","245.41","620,261"
11/30/2023,"240.50","246.90","238.63","246.30","869,112"
11/29/2023,"240.69","241.50","239.10","240.77","465,330"
11/28/2023,"245.20","245.20","241.46","241.67","318,721"
11/27/2023,"243.92","245.37","243.57","245.04","473,679"
11/24/2023,"244.15","245.94","244.11","244.28","243,455"
