Date,Open,High,Low,Close,Volume
02/16/2024,"33.00","33.29","32.87","32.99","3,199,450"
02/15/2024,"33.12","33.53","33.09","33.42","3,135,171"
02/14/2024,"33.02","33.17","32.63","33.03","3,481,992"
02/13/2024,"32.69","33.07","32.54","32.84","3,455,055"
02/12/2024,"33.35","33.63","33.20","33.53","2,678,653"
02/09/2024,"33.03","33.28","32.95","33.28","3,190,982"
02/08/2024,"32.79","33.22","32.77","33.01","2,845,041"
02/07/2024,"32.97","33.05","32.49","32.86","3,644,888"
02/06/2024,"32.37","32.99","32.25","32.81","4,221,981"
02/05/2024,"32.39","32.65","31.96","32.37","4,072,023"
02/02/2024,"32.93","33.23","32.52","32.90","5,045,927"
02/01/2024,"32.92","33.47","32.84","33.45","4,249,913"
01/31/2024,"33.24","33.30","32.58","32.77","4,415,325"
01/30/2024,"32.68","33.23","32.60","33.09","3,233,513"
01/29/2024,"33.03","33.22","32.88","32.99","3,870,587"
01/26/2024,"32.68","33.20","31.90","33.11","6,168,455"
01/25/2024,"33.70","33.86","33.19","33.32","3,859,185"
01/24/2024,"33.62","33.70","33.05","33.13","4,352,922"
01/23/2024,"33.63","33.64","33.10","33.29","3,770,715"
01/22/2024,"32.96","33.68","32.90","33.44","4,601,245"
01/19/2024,"32.69","32.94","32.31","32.85","4,049,004"
01/18/2024,"32.48","32.67","32.20","32.59","3,099,414"
01/17/2024,"32.67","32.93","32.25","32.47","3,660,304"
01/16/2024,"33.32","33.56","32.99","33.07","3,920,515"
01/12/2024,"34.24","34.37","33.58","33.63","3,261,434"
01/11/2024,"33.69","33.87","33.50","33.85","2,679,018"
01/10/2024,"33.70","34.03","33.70","33.83","2,219,371"
01/09/2024,"33.60","33.89","33.49","33.74","1,984,616"
01/08/2024,"33.58","34.14","33.50","34.05","2,262,468"
01/05/2024,"33.32","33.76","33.09","33.68","4,199,917"
01/04/2024,"33.91","34.04","33.53","33.59","3,317,491"
01/03/2024,"34.26","34.38","33.94","34.06","2,939,810"
01/02/2024,"34.57","35.01","34.49","34.79","2,317,083"
12/29/2023,"34.91","35.13","34.74","34.77","3,079,274"
12/28/2023,"34.81","35.14","34.72","35.10","2,586,111"
12/27/2023,"34.77","34.94","34.61","34.76","2,109,217"
12/26/2023,"34.43","34.73","34.31","34.63","2,542,335"
12/22/2023,"34.30","34.61","34.20","34.36","2,253,558"
12/21/2023,"34.47","34.49","33.88","34.11","2,957,233"
12/20/2023,"34.41","34.82","34.09","34.10","3,490,641"
12/19/2023,"33.82","34.50","33.82","34.45","4,855,726"
12/18/2023,"33.55","33.67","33.37","33.55","3,390,101"
12/15/2023,"33.83","34.07","33.02","33.34","11,627,300"
12/14/2023,"32.61","34.08","32.61","33.94","7,241,170"
12/13/2023,"30.78","32.19","30.67","32.00","5,687,463"
12/12/2023,"31.03","31.03","30.54","30.66","4,740,067"
12/11/2023,"30.74","31.21","30.64","31.08","2,783,119"
12/08/2023,"30.73","30.90","30.57","30.87","2,799,572"
12/07/2023,"31.26","31.26","30.83","30.89","2,976,820"
12/06/2023,"31.54","31.69","31.22","31.24","3,170,948"
12/05/2023,"31.45","31.49","31.15","31.29","2,662,545"
12/04/2023,"31.52","31.75","31.22","31.58","3,908,684"
12/01/2023,"31.51","31.95","31.24","31.74","4,211,423"
11/30/2023,"31.66","31.66","31.10","31.35","11,869,870"
11/29/2023,"31.83","31.92","31.57","31.70","3,589,923"
11/28/2023,"31.50","31.65","31.07","31.54","2,655,081"
11/27/2023,"31.45","31.80","31.33","31.62","3,503,374"
11/24/2023,"31.97","31.99","31.76","31.94","967,932"
11/22/2023,"32.07","32.14","31.82","31.99","2,212,546"
11/21/2023,"32.14","32.19","31.68","31.78","3,203,956"
