Date,Open,High,Low,Close,Volume
02/20/2024,"133.79","134.66","133.09","133.95","2,270,647"
02/16/2024,"135.23","135.85","134.40","134.55","2,565,899"
02/15/2024,"134.00","135.61","133.87","135.40","3,128,186"
02/14/2024,"131.60","134.25","131.43","134.01","2,803,093"
02/13/2024,"130.50","131.21","129.79","131.21","1,765,715"
02/12/2024,"130.28","131.96","130.28","131.36","1,849,031"
02/09/2024,"130.41","130.41","129.32","130.27","1,951,363"
02/08/2024,"129.63","130.69","128.69","130.40","2,161,407"
02/07/2024,"128.13","132.65","128.13","129.64","3,539,078"
02/06/2024,"126.00","128.17","125.75","127.27","2,899,997"
02/05/2024,"128.02","128.02","125.74","126.33","2,614,648"
02/02/2024,"129.64","130.04","127.69","128.75","1,823,828"
02/01/2024,"129.31","130.48","128.02","130.45","1,440,754"
01/31/2024,"131.45","131.98","129.26","129.49","2,154,201"
01/30/2024,"130.36","131.22","129.58","130.62","1,421,522"
01/29/2024,"129.10","130.55","128.29","130.55","1,482,095"
01/26/2024,"129.92","130.69","128.67","129.09","1,157,048"
01/25/2024,"129.83","130.31","128.54","130.22","1,871,773"
01/24/2024,"131.75","131.76","129.19","129.44","1,790,139"
01/23/2024,"131.12","131.99","131.12","131.75","1,059,720"
01/22/2024,"132.54","132.64","131.04","131.06","1,543,427"
01/19/2024,"130.83","132.57","130.10","132.30","1,927,851"
01/18/2024,"129.51","130.89","129.00","130.46","1,896,482"
01/17/2024,"128.88","130.02","128.75","129.08","1,314,869"
01/16/2024,"128.69","130.10","128.15","129.81","1,635,892"
01/12/2024,"129.48","129.48","128.32","129.13","1,081,808"
01/11/2024,"128.39","129.04","127.59","129.00","1,271,582"
01/10/2024,"128.00","129.57","127.00","129.20","1,208,743"
01/09/2024,"127.86","128.30","127.26","128.22","968,438"
01/08/2024,"128.21","128.78","127.18","128.64","1,204,124"
01/05/2024,"128.85","129.10","127.44","128.34","1,409,225"
01/04/2024,"128.40","129.62","127.79","128.69","3,018,974"
01/03/2024,"130.06","130.54","128.94","129.10","1,483,577"
01/02/2024,"129.73","130.70","128.95","129.03","1,485,326"
12/29/2023,"130.41","131.25","130.21","130.66","1,196,752"
12/28/2023,"130.84","131.03","130.37","130.52","882,490"
12/27/2023,"130.45","131.12","130.20","130.84","1,050,429"
12/26/2023,"129.88","130.71","129.56","130.26","627,506"
12/22/2023,"129.90","130.50","129.41","130.00","991,533"
12/21/2023,"129.90","130.24","128.40","129.98","1,211,633"
12/20/2023,"130.24","130.64","128.95","129.04","1,321,412"
12/19/2023,"131.11","131.97","130.18","130.24","1,704,157"
12/18/2023,"129.87","130.79","127.82","130.47","1,883,932"
12/15/2023,"130.17","130.83","128.22","128.64","2,667,546"
12/14/2023,"131.62","131.91","129.35","131.11","3,238,677"
12/13/2023,"127.90","131.28","127.90","130.93","1,927,286"
12/12/2023,"126.93","128.14","126.35","128.07","1,703,059"
12/11/2023,"124.54","126.72","124.41","126.63","1,182,470"
12/08/2023,"124.97","125.25","124.17","124.34","1,192,943"
12/07/2023,"124.95","125.20","123.70","124.27","1,901,654"
12/06/2023,"125.05","125.28","124.02","124.81","1,596,638"
12/05/2023,"126.00","126.19","124.19","124.38","1,599,994"
12/04/2023,"126.42","127.45","124.37","125.65","2,911,510"
12/01/2023,"125.59","127.50","124.52","127.33","1,560,550"
11/30/2023,"125.88","125.88","124.46","125.55","2,608,862"
11/29/2023,"126.78","126.78","125.14","125.52","1,240,089"
11/28/2023,"127.68","127.68","125.75","126.39","1,392,813"
11/27/2023,"127.55","128.41","127.22","127.69","1,143,812"
11/24/2023,"128.88","129.08","127.84","128.51","555,556"
11/22/2023,"128.92","129.36","128.53","128.94","980,551"
