Date,Open,High,Low,Close,Volume
02/16/2024,"282.41","283.00","271.71","275.46","658,173"
02/15/2024,"276.57","294.99","273.28","283.75","1,184,724"
02/14/2024,"249.47","255.36","248.27","252.96","567,311"
02/13/2024,"251.78","253.11","243.49","245.80","692,213"
02/12/2024,"253.09","260.00","253.09","259.40","395,803"
02/09/2024,"248.36","253.77","248.36","253.09","328,612"
02/08/2024,"247.22","249.75","245.68","247.12","318,724"
02/07/2024,"243.67","247.62","240.38","247.11","522,933"
02/06/2024,"241.15","243.50","241.15","242.49","497,137"
02/05/2024,"242.92","244.10","239.04","242.07","336,173"
02/02/2024,"240.21","247.94","237.06","246.48","418,557"
02/01/2024,"239.55","242.87","233.95","242.60","474,210"
01/31/2024,"250.00","250.00","238.48","239.55","482,617"
01/30/2024,"255.98","255.98","250.56","250.91","302,085"
01/29/2024,"250.72","256.04","249.71","255.93","493,224"
01/26/2024,"256.98","258.42","251.62","252.17","268,290"
01/25/2024,"257.98","260.75","255.47","256.99","334,197"
01/24/2024,"259.14","259.14","251.67","254.17","522,106"
01/23/2024,"255.85","257.44","252.62","256.09","211,816"
01/22/2024,"251.85","258.22","250.37","254.57","357,588"
01/19/2024,"250.44","251.32","245.14","249.09","397,631"
01/18/2024,"240.40","250.12","237.75","249.59","482,163"
01/17/2024,"240.00","240.34","236.19","239.17","463,251"
01/16/2024,"246.53","247.04","240.22","243.52","498,307"
01/12/2024,"256.77","259.17","243.56","248.87","625,603"
01/11/2024,"254.01","256.87","248.43","255.03","380,943"
01/10/2024,"256.00","256.93","252.50","255.27","276,886"
01/09/2024,"255.82","259.66","255.00","256.44","326,637"
01/08/2024,"252.11","262.28","251.36","261.09","399,452"
01/05/2024,"252.21","257.16","252.15","252.69","293,521"
01/04/2024,"251.10","255.41","250.53","252.97","358,077"
01/03/2024,"264.12","265.55","252.38","252.52","404,813"
01/02/2024,"268.56","270.74","265.39","267.98","452,866"
12/29/2023,"274.73","276.31","272.77","273.33","251,342"
12/28/2023,"274.11","276.39","272.78","275.35","193,857"
12/27/2023,"276.50","276.65","273.27","275.79","275,709"
12/26/2023,"270.00","276.08","269.29","275.50","220,015"
12/22/2023,"266.77","269.83","265.89","269.41","225,891"
12/21/2023,"264.76","266.15","261.67","265.31","282,522"
12/20/2023,"269.61","270.98","261.35","261.61","332,824"
12/19/2023,"268.61","271.79","265.68","269.42","467,083"
12/18/2023,"271.05","271.05","264.40","266.68","484,953"
12/15/2023,"269.17","280.33","268.07","270.18","1,025,026"
12/14/2023,"248.56","274.44","247.11","272.16","1,165,945"
12/13/2023,"238.64","245.31","235.79","244.43","303,488"
12/12/2023,"240.00","241.43","238.22","239.38","238,413"
12/11/2023,"235.94","239.76","235.94","239.65","363,087"
12/08/2023,"232.29","237.80","232.29","236.13","229,931"
12/07/2023,"235.17","236.97","232.99","233.23","319,102"
12/06/2023,"237.67","238.72","233.84","234.13","222,310"
12/05/2023,"238.39","238.39","232.57","234.36","243,301"
12/04/2023,"239.43","243.00","236.77","239.37","302,833"
12/01/2023,"235.40","241.90","232.78","241.22","419,616"
11/30/2023,"237.72","238.26","235.35","236.98","492,366"
11/29/2023,"236.13","240.06","235.65","236.62","373,026"
11/28/2023,"230.72","234.42","229.65","233.89","425,012"
11/27/2023,"227.65","233.62","227.65","231.50","528,601"
11/24/2023,"225.83","229.65","225.83","228.92","195,194"
11/22/2023,"223.40","227.00","221.59","225.86","550,144"
11/21/2023,"218.49","223.04","217.38","222.41","360,520"
